"","SRF.NS.Open","SRF.NS.High","SRF.NS.Low","SRF.NS.Close","SRF.NS.Volume","SRF.NS.Adjusted"
"1",396.399993896484,404.399993896484,392.829986572266,393.440002441406,587170,382.167510986328
"2",395,399.179992675781,384.850006103516,389.100006103516,835355,377.951843261719
"3",389,394.200012207031,381.510009765625,384.279998779297,1021420,373.269927978516
"4",385.200012207031,388.779998779297,383,386.880004882812,707335,375.795379638672
"5",386.200012207031,394.399993896484,383.320007324219,390.929992675781,958555,379.729370117188
"6",391.040008544922,394.799987792969,388.100006103516,390.649993896484,809145,379.457397460938
"7",390.040008544922,395.829986572266,388.109985351562,391.070007324219,970295,379.865356445312
"8",391.109985351562,394,386.010009765625,387.959991455078,542945,376.844390869141
"9",389.600006103516,391.760009765625,385.600006103516,387.440002441406,808550,376.33935546875
"10",387.790008544922,405.339996337891,386.769989013672,401.630004882812,2819405,390.122833251953
"11",405,409.690002441406,398.910003662109,402.179992675781,2211020,390.657012939453
"12",400.410003662109,403,390.600006103516,391.829986572266,828260,380.603576660156
"13",389.980010986328,393.940002441406,382,390.299987792969,1341820,379.117401123047
"14",395.299987792969,396.619995117188,379.109985351562,384.209991455078,759930,373.201934814453
"15",382.989990234375,384.559997558594,372.679992675781,381.959991455078,1076570,371.016387939453
"16",381,391.5,378.190002441406,390.040008544922,783560,378.864868164062
"17",392,393.329986572266,387.079986572266,390.450012207031,710820,379.263153076172
"18",390.019989013672,390.230010986328,377.600006103516,379.660003662109,542870,368.782287597656
"19",378,382.989990234375,365.579986572266,367.929992675781,1199685,357.388366699219
"20",371.200012207031,372.940002441406,364.570007324219,366.880004882812,632930,356.368499755859
"21",367.540008544922,368.910003662109,356.799987792969,358.980010986328,925225,348.694793701172
"22",358,365.589996337891,354.239990234375,356.690002441406,940915,346.470397949219
"23",356.799987792969,364.399993896484,346.720001220703,361.260009765625,706545,350.909484863281
"24",358.899993896484,364.339996337891,338,359.540008544922,1588480,349.238739013672
"25",353.200012207031,362.470001220703,349.399993896484,355.010009765625,797880,344.838562011719
"26",338.100006103516,351.399993896484,328.149993896484,346.070007324219,837020,336.154693603516
"27",349.399993896484,359.5,348.029998779297,355.239990234375,606280,345.061950683594
"28",361.200012207031,377.880004882812,361.109985351562,368.640014648438,2700775,358.078033447266
"29",360,377.910003662109,359.630004882812,375.010009765625,1136095,364.265533447266
"30",375,381.540008544922,375,378.690002441406,584735,367.840087890625
"31",378.989990234375,385.130004882812,377.359985351562,381.619995117188,824410,370.686065673828
"32",381.989990234375,386.079986572266,378.200012207031,380.010009765625,708945,370.286590576172
"33",380.579986572266,383,369,372.790008544922,572715,363.251373291016
"34",372.010009765625,380.799987792969,367.619995117188,378.549987792969,732375,368.864013671875
"35",379.100006103516,383.200012207031,374.609985351562,377.660003662109,962490,367.996795654297
"36",377.200012207031,380.589996337891,374.640014648438,375.739990234375,281915,366.125823974609
"37",376.959991455078,383.420013427734,373.309997558594,379.890014648438,1257430,370.169708251953
"38",379,386.690002441406,376.380004882812,384.399993896484,729250,374.564270019531
"39",384.200012207031,392.200012207031,383.480010986328,385.239990234375,1053925,375.382781982422
"40",387.510009765625,388.100006103516,379.339996337891,380.660003662109,461610,370.919982910156
"41",379.980010986328,383.799987792969,377,379.75,733085,370.033294677734
"42",379.390014648438,386.769989013672,376.339996337891,378.529998779297,455280,368.844482421875
"43",378.959991455078,380.910003662109,373.010009765625,376.309997558594,322595,366.681304931641
"44",379.329986572266,380.799987792969,369,371.320007324219,637405,361.819000244141
"45",371.799987792969,371.799987792969,359.600006103516,361.119995117188,552985,351.879943847656
"46",364.399993896484,372.070007324219,355,369.859985351562,718490,360.396301269531
"47",370.040008544922,373.160003662109,365,370.670013427734,861375,361.185546875
"48",372.399993896484,374.679992675781,368.410003662109,373.790008544922,495920,364.225708007812
"49",370.799987792969,376.959991455078,369.709991455078,373.290008544922,451890,363.738555908203
"50",372,377.700012207031,371.329986572266,373.799987792969,380630,364.235565185547
"51",374,378,373.329986572266,375.549987792969,332305,365.940734863281
"52",375.399993896484,378.399993896484,373.480010986328,374.549987792969,296220,364.966339111328
"53",374,377.149993896484,370.309997558594,375.089996337891,526040,365.492523193359
"54",371.399993896484,384.390014648438,371.399993896484,382.890014648438,1014415,373.092926025391
"55",383.609985351562,390.359985351562,383.609985351562,389.339996337891,1750205,379.377868652344
"56",391.959991455078,392,385.019989013672,388.420013427734,1000500,378.4814453125
"57",384.399993896484,385.049987792969,377.529998779297,383.420013427734,491955,373.609313964844
"58",383.420013427734,386.790008544922,382.470001220703,385.140014648438,444905,375.285339355469
"59",388,401.510009765625,385,399.25,1373665,389.034301757812
"60",402.799987792969,402.799987792969,387.600006103516,391.029998779297,1881825,381.024627685547
"61",394.940002441406,399.200012207031,392,397.630004882812,598440,387.455780029297
"62",397.399993896484,404.399993896484,395.989990234375,401.529998779297,1002065,391.255920410156
"63",403,408.859985351562,397.809997558594,400.070007324219,1207190,389.833343505859
"64",403,411.399993896484,401.200012207031,405.869995117188,952955,395.484985351562
"65",405.600006103516,413,403.200012207031,408.420013427734,981595,397.969696044922
"66",406.399993896484,413.540008544922,406.399993896484,409.489990234375,508565,399.012359619141
