"","ASTRAL.NS.Open","ASTRAL.NS.High","ASTRAL.NS.Low","ASTRAL.NS.Close","ASTRAL.NS.Volume","ASTRAL.NS.Adjusted"
"1",382.500091552734,383.827606201172,374.400085449219,375.997589111328,25044,372.552459716797
"2",382.455108642578,382.455108642578,372.195098876953,373.342590332031,36544,369.921783447266
"3",373.050079345703,377.955108642578,364.072601318359,368.280090332031,39284,364.905639648438
"4",368.685089111328,369.540100097656,364.500091552734,364.950103759766,72284,361.606140136719
"5",365.400085449219,373.432586669922,360.900085449219,371.002593994141,83242,367.603240966797
"6",370.800079345703,372.577606201172,362.430084228516,369.405090332031,76468,366.020355224609
"7",371.700103759766,390.60009765625,366.165100097656,382.072601318359,382486,378.571807861328
"8",386.842590332031,386.842590332031,375.750091552734,376.605102539062,74797,373.154418945312
"9",374.040100097656,382.050109863281,374.040100097656,380.407592773438,42466,376.922119140625
"10",382.500091552734,382.500091552734,375.300079345703,376.312591552734,30059,372.864532470703
"11",378.000091552734,384.750091552734,373.500091552734,378.067596435547,37068,374.603454589844
"12",382.455108642578,382.455108642578,371.790100097656,373.500091552734,85535,370.077850341797
"13",375.705078125,385.200103759766,369.000091552734,378.607604980469,65011,375.138580322266
"14",379.372589111328,383.377593994141,375.772583007812,376.830108642578,36968,373.377349853516
"15",375.750091552734,378.450103759766,375.750091552734,376.875091552734,37068,373.421905517578
"16",375.750091552734,382.500091552734,375.750091552734,380.070098876953,36006,376.587677001953
"17",377.550079345703,382.410095214844,371.902587890625,373.702606201172,31168,370.278503417969
"18",371.295104980469,376.177581787109,359.595092773438,368.977600097656,27375,365.596862792969
"19",368.977600097656,369.877593994141,361.800079345703,365.175079345703,43548,361.829071044922
"20",364.950103759766,368.482604980469,355.500091552734,360.675079345703,138442,357.370330810547
"21",360.045104980469,360.045104980469,340.470092773438,348.41259765625,193642,345.220184326172
"22",348.41259765625,366.300079345703,343.822570800781,359.437591552734,43746,356.144195556641
"23",357.750091552734,369.78759765625,351.697601318359,356.940093994141,55962,353.669555664062
"24",354.60009765625,363.577575683594,346.747589111328,352.080078125,52366,348.85400390625
"25",346.500091552734,364.500091552734,329.625091552734,358.560089111328,149751,355.274749755859
"26",338.85009765625,362.250091552734,331.650085449219,348.637573242188,539833,345.443145751953
"27",355.567596435547,360.067596435547,345.330078125,347.085083007812,40322,343.904876708984
"28",349.155090332031,359.550079345703,346.500091552734,357.727600097656,38426,354.449890136719
"29",358.200103759766,359.910095214844,344.272583007812,357.817596435547,76282,354.538970947266
"30",366.750091552734,366.750091552734,347.175079345703,353.115081787109,60899,349.879547119141
"31",354.465087890625,362.587585449219,348.390075683594,351.900085449219,83906,348.675720214844
"32",354.172576904297,360.000091552734,345.60009765625,347.107574462891,79019,343.927185058594
"33",349.200073242188,353.205078125,339.885070800781,343.800079345703,60575,340.649963378906
"34",348.727600097656,350.955078125,342.000091552734,347.782592773438,35817,344.595977783203
"35",350.055084228516,353.250091552734,341.932586669922,344.250091552734,66031,341.095825195312
"36",346.500091552734,351.000091552734,338.580078125,342.472595214844,23333,339.334655761719
"37",345.555084228516,345.60009765625,334.507568359375,342.022583007812,66337,338.888732910156
"38",344.250091552734,355.500091552734,341.235076904297,351.630096435547,220713,348.408233642578
"39",353.565093994141,384.750091552734,350.707580566406,367.110076904297,255637,363.746368408203
"40",373.500091552734,400.140106201172,372.622589111328,393.007598876953,1122615,389.406555175781
"41",389.317596435547,427.500091552734,383.400085449219,407.947601318359,942975,404.209716796875
"42",414.450103759766,417.150115966797,392.377593994141,394.627593994141,229302,391.011749267578
"43",393.750091552734,407.250091552734,384.772583007812,388.822601318359,151724,385.259948730469
"44",389.272583007812,398.160095214844,382.500091552734,383.175109863281,102459,379.664276123047
"45",383.175109863281,390.510101318359,378.900085449219,380.880096435547,77193,377.390228271484
"46",380.700103759766,382.770080566406,373.500091552734,380.587585449219,132873,377.100402832031
"47",382.522583007812,390.577606201172,380.700103759766,389.362609863281,80191,385.795013427734
"48",392.85009765625,399.60009765625,387.450103759766,388.957611083984,172737,385.393737792969
"49",390.892608642578,397.800109863281,390.172607421875,392.28759765625,57906,388.693237304688
"50",392.28759765625,400.477600097656,388.080108642578,393.322601318359,92015,389.718719482422
"51",392.962585449219,394.650085449219,387.900085449219,391.050109863281,36075,387.467041015625
"52",392.827606201172,400.005096435547,383.490081787109,384.570098876953,103171,381.04638671875
"53",388.800109863281,389.115081787109,375.750091552734,379.552581787109,79715,376.074829101562
"54",381.825103759766,394.605102539062,373.342590332031,377.910095214844,95264,374.447418212891
"55",378.000091552734,386.10009765625,373.050079345703,375.300079345703,92759,371.861328125
"56",373.500091552734,384.750091552734,371.250091552734,379.035095214844,76182,375.562133789062
"57",377.977600097656,393.232604980469,372.622589111328,388.282592773438,134895,384.724914550781
"58",382.500091552734,397.035095214844,382.500091552734,390.262603759766,107282,386.686737060547
"59",396.877593994141,403.875091552734,386.190093994141,395.437591552734,118026,391.814300537109
"60",391.500091552734,407.160095214844,391.500091552734,401.917602539062,198371,398.234924316406
"61",413.550109863281,417.60009765625,404.10009765625,415.102600097656,195819,411.299133300781
"62",420.300109863281,420.750091552734,404.10009765625,405.922607421875,121584,402.203186035156
"63",408.60009765625,416.137603759766,405.000091552734,407.160095214844,77057,403.429382324219
"64",412.650115966797,414.000091552734,405.495086669922,411.232604980469,127599,407.464599609375
"65",412.650115966797,416.250091552734,411.322601318359,414.562591552734,180124,410.764038085938
"66",414.562591552734,420.300109863281,411.772613525391,418.072601318359,735806,414.241882324219
