,HAL.NS.Open,HAL.NS.High,HAL.NS.Low,HAL.NS.Close,HAL.NS.Volume,HAL.NS.Adjusted
473,342.4750061,342.4750061,332.5,335.9500122,45818,288.0148926
474,336,336,319,323.625,88612,277.4484253
475,324,332,320.2749939,322.3250122,57988,276.3339539
476,318.5,318.5,310,310.7999878,46822,266.4533691
477,311.875,311.875,292.5,296.0750122,75378,253.8294067
478,296,302.5,293.0249939,294.4750061,34350,252.4577026
479,287.5,287.5,268,269.4500122,66172,231.0034485
480,256.75,271.5,236,267.1000061,82154,228.9887543
481,265,310,257.125,279.9249878,122936,239.9837494
482,286,290,272.5,276.6499939,170874,237.1760864
483,287,287.7999878,270,274.875,93910,235.6543427
484,270,290.5,261,278.2000122,126504,238.5049133
485,282,287.2999878,276.5499878,282.5750122,100220,242.2556915
486,235,269.5,235,250.375,59312,228.0683289
487,257.5,258.5750122,236.5,239.625,51720,218.2760315
488,235,246.2749939,235,239.75,35086,218.3899384
489,242.5,251.1999969,239.25,248.625,31200,226.4741974
490,252.5,297.5,250.0500031,262.5750122,261116,239.1814117
491,262.5,262.5,251.6750031,256.2749939,25010,233.4426422
492,257,263.875,257,260.1499939,23822,236.9724121
493,275,280.5,265,266.6499939,102684,242.8933411
494,271.9249878,271.9249878,261.4750061,264.7749939,23000,241.1853943
495,274.7749939,274.7749939,262.5,267.3500061,50988,243.5309906
496,268,311,265,273,372842,248.677597
497,275.75,283.5,273.25,274.125,102572,249.7023315
498,292.625,297.5,280,281.6499939,330606,256.5569458
499,287.7999878,287.7999878,275.8250122,277.7749939,79146,253.0271454
500,275,287,273.5,281.2250061,100754,256.1697693
501,286.4500122,291,278.3500061,279.8999939,96174,254.9627991
502,281.5,285.8500061,281,282.5,49862,257.3312073
503,280.9500122,280.9500122,268.0249939,273.2749939,50602,248.9280701
504,270.5499878,273.3999939,267.5499878,270.375,32644,246.2864532
505,273.7000122,276.8250122,270.5499878,271.8250122,29448,247.6072845
506,270,276,265,266.5,43908,242.7566681
507,269.8500061,269.8500061,262.625,264.0750122,39748,240.5477448
508,266.4500122,266.4750061,259.2749939,259.8500061,59356,236.6991272
509,262.0499878,265,256.7749939,263.0249939,55336,239.5912933
510,266.0499878,266.5,263,263.5750122,66640,240.0923157
511,260,260,252,254.8999939,74384,232.1901398
512,256.1749878,259.5,250.75,251.8999939,92382,229.4574585
513,253.1750031,255.4750061,250,252.5,47104,230.0040131
514,250,265.3999939,250,255.7749939,603216,232.9872131
515,257.0750122,259.4500122,250,250.9250031,74904,228.5693359
516,251,254.0249939,247.5500031,248.3500061,72048,226.2237244
517,248,249.9499969,244.5249939,246.6999969,56908,224.7207336
518,253.8500061,261.875,250,253.1750031,291790,230.618866
519,251.5,254.75,248,249.0500031,65266,226.8613739
520,255,264,252.5,261.5499878,460370,238.2476959
521,275.5,284.5,268,273.75,1502418,249.3607635
522,275.4750061,279.4750061,260,263.8500061,287706,240.3427582
523,260.5,267.1000061,255.0749969,265.2749939,77818,241.6408081
524,270.2749939,272.375,265,267.2250061,92318,243.417099
525,267,273.3500061,265.0499878,267.375,101180,243.5537262
526,270,270,264.75,265.5499878,37830,241.8913422
527,267.5,267.9750061,261.3250122,264.625,40508,241.0487518
528,265.75,290.125,265.75,277.7749939,741014,253.0271454
529,277.6749878,280.375,274,278.0750122,88346,253.3004456
530,280,287.5,279,280.4500122,153704,255.4638519
531,277.5750122,286.4500122,277.5750122,282.6000061,68016,257.4222717
532,285,301.3500061,280.375,292.1499939,531210,266.1214294
533,294.6749878,304.5,293,299.2749939,291022,272.6116943
534,302.5,318,300.0499878,315.5499878,483066,287.436676
535,317.8500061,339,316.75,330.0249939,340154,300.6221008
536,331,331.5,324.7999878,327.8500061,98346,298.6408386
537,326,330.9750061,326,327.75,45426,298.5497131
538,329,337.5,326.0249939,331.2749939,95178,301.7606506
539,310,329.9750061,309.5,327.75,99036,298.5497131
540,331.8500061,336.3500061,327.5,329.2250061,62570,299.8933411
541,335,373,325.5249939,356.4750061,359880,324.7155457
542,364,369.4750061,350,354.1499939,604286,322.5976868
543,355.4249878,363.9500122,351.6499939,356.5249939,146782,324.7610779
544,357.25,360.8500061,352.5,354.0249939,94130,322.4838257
545,355.5,361,353.1000061,356.4249878,127548,324.6700745
546,357.5,358.7250061,353.5,356.0499878,54506,324.3283386
547,356,357.5,347.5,349.3250122,75572,318.2025757
548,349.8999939,408.9500122,345.5,396.0750122,2157398,360.7874146
549,397.5,397.9750061,377,380.875,619028,346.9416504
550,382.5,407,372.3250122,380.75,707984,346.8278503
551,395,399.2000122,380.5499878,386.0750122,379848,351.6783752
552,382.5,388.9750061,380.5499878,381.8500061,104426,347.8298035
553,383,394.4500122,377.3500061,387.6499939,191480,353.1130371
554,406.9750061,432.5,402.5499878,426.2000122,4471666,388.2285461
555,428,497.2999878,412.5,476.9500122,7927122,434.4570313
556,477.5,514,463.0750122,490.0249939,6588018,446.3670959
557,492.0249939,507.5,469,472.6499939,2465972,430.5401306
558,483.5,483.5,450.5499878,464.9249878,2042622,423.5033875
559,455,487.75,454.9249878,471.2000122,2729028,429.2193298
560,475,482.5,461.9500122,464.75,656118,423.3440247
561,470.5,474.4750061,450,452.4249878,797222,412.1170349
562,454.9750061,456.5,427.5249939,433.9249878,658348,395.2652588
563,434.1499939,438.7999878,412.5,421.4750061,552154,383.9244995
564,425.2749939,472.5,416,468.625,3113956,426.8737488
565,472,477,457.5,461.7000122,1473602,420.5657043
566,462,470,455.8250122,457.5499878,817492,416.7854309
567,457.5499878,467.75,448.9750061,454.2749939,816438,413.8022461
568,457.0249939,476.3999939,454.2999878,465.8250122,1441024,424.3232422
569,462.4750061,468.1749878,453,454.8500061,532962,414.3259888
570,456,458.7000122,441.5249939,445.25,870654,405.5812988
571,446.5249939,457.5,440.5,451.6499939,509838,411.4111328
572,455.7250061,464.9500122,451.6499939,454.5750122,658512,414.0755615
573,456.0499878,456.5,437.7999878,439.9500122,316120,400.7534485
574,442.3999939,442.3999939,432.8250122,436.2250061,231530,397.3603516
575,430.7749939,452.4750061,430.0499878,447.0499878,430306,407.2208862
576,452.1499939,478.8500061,450,475.1000061,2418416,432.7718811
577,477.5,492.5,468.5249939,482.6499939,1543220,439.649231
578,483,493.5,475.1749878,483.7250061,750654,440.6284485
579,483,488.0249939,471,474.7250061,486796,432.4302673
580,516.5,535,503.25,515.6500244,2503216,469.7091675
581,516,522,500.5,509.5750122,559536,464.1753845
582,525,563.4249878,520,549.5250244,4036338,500.5660706
583,560,659.4249878,555.0250244,644.4749756,8426730,587.0567627
584,660.5499878,711.5,601.2000122,646.7999878,12758130,589.1745605
585,665.0250244,677,616,625.2000122,3838576,569.4990234
586,625.2000122,656,622.5,638.25,4318078,581.3864136
587,654.8499756,659.5,625.4249878,631.5,2998742,575.2376709
588,627.5,627.5,600,603.1749878,1672732,549.4362793
589,607.5,628.5,600,605.75,2370202,551.7818604
590,611.7000122,612.5,595.7249756,598.5,702138,545.1777344
591,603.2000122,604.4749756,580.1749878,586.4749756,838774,534.2241211
592,585,604.5,574.5,588.7999878,1305902,536.342041
593,520.5499878,532.9500122,504.25,505.3999939,11662338,460.372345
594,490.7999878,517,490.7999878,505.2999878,16565194,460.28125
595,491,493.9500122,460.5,463.0750122,9651410,421.8182678
596,463,463,435.5,446.0750122,6511002,406.3327637
597,445.9750061,459,443.125,447.1499939,2609886,407.3120117
598,448.5,469,446.1000061,462.7999878,4411752,421.567688
599,455,463.4750061,452.5249939,455.5,1894078,414.9181213
600,457.0249939,461.9750061,444.125,446.0249939,1716244,406.2872009
601,447.5,455.5,432.5499878,434.8500061,1851788,396.1078796
602,432.5,433.4500122,417.5249939,419.4249878,2266656,382.0570984
603,423.2250061,439.4249878,423.2250061,432.25,2117476,393.7394714
604,433.5,437.5,425.0249939,426.2250061,1803916,388.2513123
605,426.2749939,432.3500061,415.5,417.0499878,1705960,379.8937378
606,420.5,430,411.125,421.25,2627204,383.7195129
607,423.4249878,425.5,419,420.4249878,943060,382.9679871
608,420.1000061,422.5,414.0249939,415,798390,378.0263977
609,417.6000061,424.9249878,415.6000061,420.9500122,1445736,383.446228
610,421.4249878,424.8999939,396.5,399.6000061,1439460,363.9984131
611,395.1499939,399,377.625,387.6499939,2292796,353.1130371
612,388,393.5,379.5,385.5,1256208,351.1545715
613,379,406.8500061,372.125,389.4500122,2706724,354.7527161
614,392,398,381.1000061,383.8500061,1429186,349.6516418
615,387.5499878,391.3999939,384,389.1000061,711684,354.4338379
616,392.5,399.3250122,390.125,391.6000061,1124204,356.7111511
617,393,405.5,382.5,403.0499878,2451386,367.1409912
618,406.5,410.9750061,397.875,399.6749878,1311938,364.0666504
619,402.5,412.2250061,395.5750122,410.3500061,1329478,373.7906494
620,412.5,414.3500061,407.2000122,410.7000122,773692,374.1094666
621,409,410.3250122,403.5,404.7749939,652562,368.7123108
622,407.3500061,410.1499939,397.0750122,399.1749878,587478,363.6112671
623,399.5,402.7250061,390.5,392.8250122,728078,357.8269653
624,394.3999939,396.4750061,383.5,384.4750061,657670,350.2209778
625,384.4750061,385.4249878,376.5,377.7749939,560898,344.1178589
626,379,393.5,377.5,384.4500122,973148,350.1981506
627,385.7250061,387.0249939,370.5750122,372.875,624040,339.6543884
628,374.5,379.0249939,370,371.7000122,568224,338.5841064
629,374.4500122,375.5,370,370.7250061,453474,337.6959839
630,370.75,373.1499939,358,358.7749939,1051072,326.8106079
631,363,363,346.5,349.375,1693360,318.2481079
632,350,366.5,349.5,362.7250061,1948058,330.4086914
633,365.875,365.875,358,358.9750061,600730,326.9928284
634,361.5,361.5249939,347.875,350.8999939,655868,319.637207
635,352.5,354.3999939,345.0249939,350.2000122,727400,318.9996033
636,351,356.7000122,346.9500122,350.625,582698,319.3867493
637,348.9500122,353.7250061,345.5,347.6000061,601170,316.6312561
638,347.6000061,352.0249939,342.2000122,343.5499878,569552,312.9420166
639,345.5,346.5,335.0499878,337.4750061,514874,307.4082947
640,340,341.0750122,335.1000061,336.3250122,522936,306.3607178
641,335,337.5,329,330.4500122,506958,301.0091858
642,334,357.5,332.2999878,350.3500061,2559808,319.1362305
643,351.8999939,359.5,348.5,351.1749878,721290,319.8877869
644,354,362,349.2000122,359.2999878,1157466,327.2887878
645,360,367.8250122,353.3250122,363.9249878,937784,331.5018005
646,365.3500061,367.125,358.5,365.6749878,753234,333.0958862
647,365.0750122,379.8999939,361.5,377.7999878,1400692,344.1405945
648,379.5,384,371.2250061,380.4249878,1365782,346.5317383
649,389.2999878,393.2000122,385.0750122,388.125,641492,353.5457153
650,389.5,393.5,381.0750122,389.7999878,913542,355.0714417
651,389,389.1749878,382.875,384.125,492218,349.9020996
652,382.5,395,380.625,387.125,1060630,352.6347961
653,388.4500122,392,384.1000061,386.1000061,440024,351.7011414
654,387.5,389.7000122,366.5,386.0750122,511056,351.6783752
655,386.8500061,398.9249878,386.8500061,395.6000061,1446888,360.3547974
656,397.5,409,395.5,403.9750061,2678506,367.9836121
657,407,409.5,401.6499939,405.2000122,787892,369.0995178
658,405.5,412.8999939,402.5499878,409.25,1237092,372.7886658
659,412.8999939,417.3999939,409,414.8999939,832030,377.9352722
660,416,417.4750061,410.0499878,414.1499939,734356,377.2520752
661,417.5,426.6000061,415,423.8500061,1242642,386.0878906
662,426.5,429.6749878,417.8500061,421.3250122,905708,383.7878723
663,423.4500122,436,421.5,433.6749878,1251354,395.0375366
664,435.8500061,436.625,427.1499939,431.75,1035344,393.2840576
665,439.4500122,447.25,436.75,439.0249939,2047528,399.9109192
666,441.5,441.8999939,424.3250122,433.3500061,735732,394.7415466
667,435.5,438.625,426,428.3999939,565486,390.2324524
668,431,439.3999939,430.3999939,436.5750122,637800,397.6791992
