,BEL.NS.Open,BEL.NS.High,BEL.NS.Low,BEL.NS.Close,BEL.NS.Volume,BEL.NS.Adjusted
478,33.26666641,33.73333359,32.83333206,33.33333206,28292490,30.03005409
479,33.46666718,34.09999847,33.16666412,33.68333435,19226304,30.34536743
480,33.68333435,33.81666565,33.33333206,33.40000153,12393666,30.09011459
481,33.45000076,33.58333206,33.21666718,33.48333359,13404162,30.16519165
482,33.41666412,33.59999847,33.16666412,33.36666489,10160163,30.06008339
483,33.3833313,33.46666718,32.83333206,32.93333435,10121097,29.66969872
484,32.90000153,33.34999847,32.83333206,32.95000076,22862667,29.68471146
485,32.95000076,33.26666641,32.83333206,33.20000076,11035944,29.90993118
486,33.20000076,33.56666565,32.78333282,32.95000076,22525710,29.68471146
487,33.09999847,33.91666412,33.04999924,33.23333359,17607090,29.9399662
488,33.3833313,33.59999847,33.20000076,33.31666565,9577833,30.01503563
489,33.40000153,34,33.20000076,33.34999847,22468632,30.04506874
490,33.43333435,33.65000153,33.1333313,33.3833313,15438294,30.07509613
491,33.54999924,34.59999847,33.29999924,34.3833313,26262750,30.97599792
492,34.40000153,34.6333313,33.45000076,33.65000153,21950223,30.31534576
493,33.16666412,33.6333313,31.88333321,32.31666565,36402729,29.11413765
494,32.78333282,33,31.76666641,32.11666489,33298260,28.93395805
495,31.68333244,32.3833313,31.48333359,31.81666565,20424309,28.66368866
496,32.33333206,32.41666412,31.93333244,32.33333206,41681037,29.12914848
497,32.33333206,32.86666489,32.33333206,32.40000153,23088681,29.18921089
498,32.73333359,33.08333206,32.51666641,32.66666412,28538664,29.42944908
499,32.95000076,33.40000153,32.65000153,33.28333282,21417702,29.98501015
500,33.40000153,34.8833313,33.16666412,34.61666489,39241374,31.18620872
501,35.33333206,35.75,34.78333282,35.25,54250446,31.75677872
502,35.20000076,36.31666565,34.90000153,36.20000076,33279852,32.6126442
503,36.33333206,36.33333206,34.54999924,35,28115967,31.53155518
504,34.66666412,35.33333206,34.61666489,35.01666641,17126625,31.54657173
505,35.01666641,35.01666641,33.33333206,33.65000153,46807380,30.31534576
506,33.70000076,34.84999847,33.3833313,33.71666718,64975338,30.37540436
507,33.78333282,34.54999924,33.76666641,33.95000076,20621760,30.58561325
508,33.90000153,34.5,33.66666412,33.8833313,24177363,30.52554703
509,33.86666489,34.01666641,33.1333313,33.40000153,32134050,30.09011459
510,33.6333313,33.71666718,33.23333359,33.51666641,28345554,30.19521904
511,33.75,34.48333359,33.43333435,33.58333206,33639177,30.25527763
512,32.08333206,33,29.96666527,30.21666527,169747995,27.22224808
513,28.33333206,29.14999962,26.91666603,27.83333206,76345218,25.07509232
514,28.18333244,29.03333282,28.14999962,28.28333282,44426844,25.48049927
515,28.33333206,29.38333321,28.18333244,28.96666527,45829710,26.09611893
516,29.28333282,29.33333206,28.54999924,29,31688880,26.12614441
517,29.03333282,29.33333206,28.73333359,29.18333244,30367869,26.29131508
518,29.28333282,29.28333282,28.61666679,28.83333206,37802355,25.97599411
519,28.63333321,29.06666565,28.43333244,28.56666565,40352259,26.15913963
520,28.46666527,28.54999924,27.83333206,28,23629242,25.64023399
521,28,28.5,27.71666527,28.39999962,25245033,26.00652313
522,28.41666603,28.58333206,27.54999924,27.68333244,28646769,25.35025787
523,27.70000076,27.85000038,26.83333206,27,36810129,24.72450829
524,26.91666603,27.96666527,26.51666641,27.60000038,45656493,25.27394485
525,27.75,28.29999924,27.31666565,28.23333359,29175999,25.85390091
526,28.21666527,29.03333282,27.95000076,28.85000038,38155335,26.41859436
527,28.56666565,28.56666565,27.08333206,27.31666565,25592289,25.01448631
528,27.39999962,27.93333244,27.39999962,27.5,17040831,25.18237305
529,27.36666679,27.56666565,26.43333244,26.76666641,19537644,24.51083946
530,26.83333206,26.91666603,25.71666527,25.81666565,42868818,23.64090157
531,25.51666641,25.51666641,24.28333282,24.64999962,52332150,22.57256126
532,25.33333206,25.63333321,24,24.31666565,27625068,22.26732063
533,24.46666527,25.04999924,24.08333206,24.83333206,57863331,22.74044418
534,24.89999962,25.06666565,23.51666641,24.95000076,61044003,22.8472805
535,25.5,25.5,24.21666527,24.36666679,46784883,22.31310844
536,23.63333321,24.04999924,23.04999924,23.83333206,29644698,21.82471848
537,23.29999924,23.5,22.54999924,23.23333359,51248196,21.27528572
538,23.16666603,23.38333321,22.53333282,22.95000076,36373143,21.0158329
539,22.04999924,22.25,20.79999924,21.88333321,71924844,20.03906441
540,20,23.51666641,20,23.29999924,65882406,21.33633423
541,22.83333206,23.31666565,21.66666603,21.96666527,41016261,20.1153698
542,22,23.79999924,21.95000076,23.23333359,37733433,21.27528572
543,23.29999924,26.71666527,22.38333321,24.93333244,98464686,22.8320179
544,23.01666641,24.16666603,20.96666527,21.51666641,60526506,19.70329857
545,21.66666603,24,21.5,23.76666641,55460706,21.76367378
546,21.68333244,22.54999924,19.04999924,19.81666565,24523071,18.14657021
547,20.66666603,21.16666603,18.66666603,19.48333359,27422100,17.84132576
548,19.26666641,21.11666679,18.86666679,20.89999962,18227226,19.13860512
549,21.08333206,22.81666565,20.36666679,22.45000076,37021584,20.55797577
550,24.66666603,25.58333206,22.91666603,24.38333321,47228853,22.32836723
551,24.21666527,25.29999924,23.56666565,24.20000076,46529544,22.16048813
552,24.98333359,25.26666641,24.20000076,24.81666565,21484521,22.72518158
553,24.60000038,25.41666603,22.46666527,23.01666641,28985310,21.07688141
554,23.91666603,23.96666527,22.83333206,23.31666565,27952953,21.35159683
555,24.26666641,24.33333206,22.83333206,23,37884333,21.0616188
556,23,23.76666641,21.70000076,22.13333321,50097555,20.26799774
557,22.46666527,23.81666565,22.35000038,23.38333321,29167602,21.41264725
558,24.33333206,24.5,23.36666679,23.5,29985114,21.51948166
559,24,24.41666603,22.96666527,23.20000076,34458015,21.24476433
560,23.5,24.06666565,23.39999962,23.66666603,70586814,21.67210007
561,24.16666603,24.36666679,23.54999924,23.76666641,59145438,21.76367378
562,24.10000038,25.76666641,23.81666565,25.11666679,104546547,22.99990082
563,24.98333359,25.68333244,24.10000038,25.29999924,62019870,23.16777992
564,25.31666565,25.89999962,24.96666527,25.53333282,31721535,23.38145065
565,25.56666565,26.36666679,25.23333359,25.33333206,39150099,23.19830513
566,25.03333282,25.89999962,24.45000076,24.85000038,72877884,22.75570488
567,25.06666565,25.28333282,24.38333321,24.54999924,21745512,22.48098946
568,24.75,24.83333206,24.23333359,24.41666603,14137194,22.35889244
569,24.64999962,24.70000076,24.04999924,24.38333321,29327631,22.32836723
570,24.70000076,24.81666565,23.78333282,24.03333282,51318042,22.007864
571,23.51666641,23.56666565,22.33333206,22.48333359,36058335,20.58849525
572,22.86666679,22.86666679,21.71666527,21.79999924,25048227,19.96274948
573,21.76666641,21.95000076,20.91666603,21.21666527,31888788,19.42857933
574,21.13333321,21.45000076,20.85000038,20.88333321,26103246,19.1233387
575,21.16666603,21.25,19.83333206,19.89999962,39644082,18.22288322
576,20.16666603,20.66666603,19.78333282,20.04999924,43531365,18.36023521
577,19.89999962,20.39999962,19.25,20.18333244,40166454,18.48233414
578,21.46666527,22.20000076,20.75,21.89999962,84071691,20.0543251
579,21.48333359,21.83333206,21.08333206,21.21666527,33954891,19.42857933
580,21.01666641,22.93333244,20.75,22.58333206,100684062,20.68007088
581,23.66666603,23.93333244,21.33333206,21.5,128706990,19.68803406
582,21.85000038,22.21666527,20.54999924,20.76666641,63288999,19.0165081
583,20.86666679,21.39999962,20.56666565,21.06666565,50209938,19.29122353
584,21.46666527,21.79999924,20.79999924,21,61140009,19.23017311
585,20.83333206,21.18333244,20.5,21.01666641,34434273,19.24543571
