,BHARTIARTL.NS.Open,BHARTIARTL.NS.High,BHARTIARTL.NS.Low,BHARTIARTL.NS.Close,BHARTIARTL.NS.Volume,BHARTIARTL.NS.Adjusted
1497,1145,1172.550049,1135,1158,18194595,1151.582397
1498,1140.099976,1194,1140.099976,1189.949951,9546592,1183.355347
1499,1186,1200.650024,1157.050049,1160.550049,11424697,1154.118408
1500,1158,1169.75,1158,1162.150024,4015858,1155.709473
1501,1162.150024,1180.849976,1154.550049,1158.650024,3902023,1152.228882
1502,1159,1175.050049,1146.199951,1170.699951,5981966,1164.212036
1503,1165.050049,1170.199951,1148.949951,1151.199951,3606209,1144.820068
1504,1155,1175.199951,1145.300049,1150.800049,4969983,1144.422363
1505,1154.349976,1159.650024,1110,1113.550049,7809331,1107.378784
1506,1125,1156.099976,1123,1134.050049,9863065,1127.765259
1507,1138.800049,1148.25,1131.800049,1134.300049,2770694,1128.013794
1508,1144.400024,1146.5,1116.199951,1142.150024,6519392,1135.820313
1509,1145.949951,1145.949951,1116.25,1120.25,4203171,1114.041626
1510,1122.900024,1129,1111.300049,1118.699951,3887976,1112.500244
1511,1111,1125,1103.800049,1117.849976,3211554,1111.654907
1512,1110,1121.150024,1104.699951,1115.849976,4653070,1109.666016
1513,1122.300049,1131.449951,1109.400024,1120.699951,5056712,1114.489136
1514,1124,1127.050049,1116.849976,1120,3091952,1113.793091
1515,1121.050049,1145,1118.349976,1142.199951,4711035,1135.869995
1516,1145,1151.599976,1135,1143.949951,5397418,1137.610229
1517,1155,1159.150024,1132.599976,1139.900024,4570259,1133.582764
1518,1137.599976,1138.75,1097.650024,1135.550049,8642368,1129.256958
1519,1127,1131.849976,1115.300049,1125.75,6709844,1119.51123
1520,1118.099976,1125.900024,1104.349976,1110.050049,3186134,1103.898193
1521,1113,1131,1101.300049,1127.5,7149094,1121.251465
1522,1133.400024,1152.650024,1123.5,1128.75,5302711,1122.494507
1523,1118.849976,1137.949951,1099,1123.349976,13818650,1117.124512
1524,1128,1140.75,1117.400024,1128.699951,5927490,1122.444824
1525,1132,1149.25,1132,1133.5,5855090,1127.218262
1526,1133.050049,1179.75,1133.050049,1168.900024,5375008,1162.422119
1527,1173.949951,1196.599976,1157.349976,1193.699951,5464839,1187.084595
1528,1209.849976,1213.599976,1189.449951,1199.699951,8903981,1193.05127
1529,1186,1218.300049,1186,1196.599976,6679208,1189.968506
1530,1200,1208,1197.800049,1204.25,4249548,1197.576172
1531,1212,1212,1151.699951,1168.75,7528096,1162.272827
1532,1173.949951,1199.699951,1163.550049,1194.599976,8569080,1187.979614
1533,1190,1222.800049,1187.849976,1220,10115416,1213.238892
1534,1225,1230.550049,1215.199951,1225.300049,4141080,1218.509521
1535,1216.199951,1240.400024,1214.599976,1228.349976,7703719,1221.542603
1536,1228.25,1239,1223.650024,1231.800049,6596032,1224.973511
1537,1238,1242.900024,1214.099976,1220.800049,9952250,1214.034424
1538,1226.949951,1245,1222,1236.099976,7840007,1229.249634
1539,1225,1234,1210,1213.099976,10898138,1206.377075
