"","HINDCOPPER.NS.Open","HINDCOPPER.NS.High","HINDCOPPER.NS.Low","HINDCOPPER.NS.Close","HINDCOPPER.NS.Volume","HINDCOPPER.NS.Adjusted"
"1",101.5,103.25,99.3499984741211,99.8499984741211,4391787,95.8599014282227
"2",100.5,100.75,96.5,97.8000030517578,4589076,93.8918304443359
"3",98.3000030517578,101.5,97.4000015258789,100.099998474121,5905956,96.0999145507812
"4",100.699996948242,102.699996948242,99.1500015258789,99.9000015258789,6113289,95.9079132080078
"5",100.300003051758,101.949996948242,99.1999969482422,99.5,4228939,95.5238876342773
"6",100,100.400001525879,97.1500015258789,97.4499969482422,4986645,93.5558090209961
"7",98,98.5,94.5500030517578,95.25,4575534,91.4437255859375
"8",95.3000030517578,97.1999969482422,93.6500015258789,94.0999984741211,3794001,90.3396835327148
"9",94.5,95.6999969482422,93.8000030517578,94.75,2968630,90.9637069702148
"10",95.3000030517578,95.8000030517578,91.5500030517578,93.3000030517578,3084786,89.5716552734375
"11",93.8499984741211,94.75,93.0999984741211,93.5,2112054,89.7636642456055
"12",93.9499969482422,94,90.0500030517578,90.5500030517578,2617015,86.9315567016602
"13",90.5999984741211,92.1999969482422,86.6500015258789,91.5500030517578,3428566,87.8915786743164
"14",92.25,92.6500015258789,86.25,87.1999969482422,3288069,83.7154083251953
"15",87.4000015258789,88.0999984741211,85,86.9000015258789,2409283,83.4274139404297
"16",87.4000015258789,91.9000015258789,86.25,90.3499984741211,4096212,86.7395324707031
"17",91.25,93,89.25,90.3499984741211,3762804,86.7395324707031
"18",90.3000030517578,90.4000015258789,87.0999984741211,87.4000015258789,1957549,83.9074325561523
"19",88.0999984741211,90.4499969482422,87.0500030517578,87.25,3017334,83.7634124755859
"20",88.4000015258789,88.9000015258789,85.5500030517578,85.8499984741211,1873152,82.4193572998047
"21",85.9499969482422,87.9000015258789,84.5,84.9499969482422,2317452,81.5553283691406
"22",85,86.75,83,85,3085286,81.6033325195312
"23",84,84,78.5,80.1500015258789,4365717,76.947135925293
"24",79,80,74,76.5500030517578,4322816,73.4910049438477
"25",74.5,76.75,72,75.6500015258789,3787876,72.6269683837891
"26",70,74.6500015258789,69.5500030517578,73.5500030517578,3549403,70.6108779907227
"27",75.5,76.3000030517578,73.1500015258789,74,2101932,71.0429000854492
"28",74.5,80.25,73.4499969482422,79.6500015258789,3999646,76.4671173095703
"29",77,81.3000030517578,76.3000030517578,79.1999969482422,3510327,76.0350952148438
"30",80.0999984741211,81.5999984741211,79.3499984741211,79.8000030517578,2185373,76.6111221313477
"31",80.3000030517578,81.5,79,79.3499984741211,1649523,76.1791076660156
"32",80,80.5999984741211,77.1999969482422,78.25,1495295,75.1230621337891
"33",79.25,79.6999969482422,75.8499984741211,76.4000015258789,1423420,73.3470001220703
"34",76.5,76.5,74,74.5,1122504,71.5229263305664
"35",74.5,75.8000030517578,73.8000030517578,74.5999984741211,1193084,71.6189193725586
"36",75.1999969482422,75.4000015258789,73,73.3000030517578,1264816,70.3708648681641
"37",73,73.9499969482422,72.3000030517578,73.0999984741211,1336594,70.1788635253906
"38",73.0999984741211,75,73.0999984741211,74.4499969482422,1525787,71.4749145507812
"39",74.6999969482422,75.75,73.9000015258789,74.3000030517578,1573575,71.3309097290039
"40",74.8499984741211,75.5,73.6500015258789,73.9000015258789,1447206,70.9468994140625
"41",73.0500030517578,73.9000015258789,72.5,73,1092095,70.0828628540039
"42",72.9000015258789,73.8499984741211,72.0999984741211,72.5500030517578,1148629,69.6508483886719
"43",72,72.25,70,71,1363819,68.1627731323242
"44",71.6500015258789,72.4000015258789,68.5999984741211,69.5999984741211,1094452,66.8187255859375
"45",68.8000030517578,69.4000015258789,65,65.3000030517578,2087286,62.690559387207
"46",66.4000015258789,66.4000015258789,62.5999984741211,64.5500030517578,1334047,61.9705276489258
"47",64.8000030517578,65.1500015258789,62.9000015258789,63.6500015258789,1195667,61.1064949035645
"48",64.3499984741211,67.3000030517578,63.5,64.75,1942505,62.1625366210938
"49",64.6999969482422,67.25,64.5999984741211,65.8499984741211,2108466,63.218578338623
"50",65.3000030517578,66.3000030517578,64.8000030517578,65.75,1070465,63.1225700378418
"51",66.5,75.5999984741211,66.5,74.1500015258789,15549918,71.186897277832
"52",74,75.6500015258789,71.4000015258789,71.6999969482422,6040991,68.8348083496094
"53",72.25,72.4000015258789,66.5,67.3000030517578,2738187,64.6106338500977
"54",65.8499984741211,69.5,65.6500015258789,67.0999984741211,2098547,64.4186248779297
"55",67.3499984741211,69.3000030517578,66.1999969482422,67,1425148,64.3226318359375
"56",67.3499984741211,68.0500030517578,65.8000030517578,66.0999984741211,1508091,63.4585876464844
"57",64.1999969482422,65.0999984741211,62.7999992370605,63.2000007629395,1852383,60.6744766235352
"58",63.2000007629395,65.1999969482422,62.4500007629395,63.5499992370605,2829102,61.0104904174805
"59",64.0500030517578,65.3499984741211,64.0500030517578,64.4000015258789,1669234,61.8265266418457
"60",64,64.1999969482422,62.7000007629395,62.9000015258789,1375505,60.3864669799805
