"","BAJFINANCE.NS.Open","BAJFINANCE.NS.High","BAJFINANCE.NS.Low","BAJFINANCE.NS.Close","BAJFINANCE.NS.Volume","BAJFINANCE.NS.Adjusted"
"58",1698.90002441406,1748,1686,1741.59997558594,1288984,1706.66857910156
"59",1750,1798,1749.80004882812,1772.44995117188,1670239,1736.89953613281
"60",1777,1793,1760.80004882812,1767.55004882812,986960,1732.09790039062
"61",1769,1825,1769,1818.59997558594,633203,1782.12390136719
"62",1820,1840,1801.59997558594,1834.25,1049457,1797.4599609375
"63",1840,1869.59997558594,1836.69995117188,1850.19995117188,1793441,1813.08996582031
"64",1866,1922.09997558594,1866,1915.59997558594,1385959,1877.17846679688
"65",1919,1943.5,1908.84997558594,1937.59997558594,1612001,1898.73706054688
"66",1942.59997558594,1967.75,1930.25,1944.25,1131792,1905.25378417969
"67",1950,1952.44995117188,1913.65002441406,1926.05004882812,1013811,1887.4189453125
"68",1926,1955,1891.40002441406,1924.65002441406,1188976,1886.046875
"69",1923.75,1942.09997558594,1911.05004882812,1929.34997558594,535354,1890.65258789062
"70",1931,1948.84997558594,1907.59997558594,1914.34997558594,592886,1875.95336914062
"71",1913.94995117188,1950,1897.55004882812,1943.30004882812,772723,1904.32287597656
"72",1959.90002441406,1959.90002441406,1918,1935.05004882812,696203,1896.23840332031
"73",1946,1950.55004882812,1921.30004882812,1926.84997558594,462905,1888.20275878906
"74",1935,1935.5,1908.15002441406,1913.30004882812,632589,1874.92443847656
"75",1907.80004882812,1907.80004882812,1850.15002441406,1880.40002441406,1226196,1842.6845703125
"76",1880,1919.75,1860.80004882812,1899.34997558594,762125,1861.25439453125
"77",1908,1933.25,1898.59997558594,1917.80004882812,784895,1879.33435058594
"78",1925.94995117188,1938.94995117188,1888.65002441406,1899.84997558594,677675,1861.744140625
"79",1909,1915,1876.59997558594,1892.09997558594,1098339,1854.14978027344
"80",1912,1915.44995117188,1892.5,1901.15002441406,641591,1863.01818847656
"81",1924.90002441406,1924.90002441406,1894.80004882812,1907.69995117188,647210,1869.43688964844
"82",1909,1936.75,1900,1905.09997558594,687083,1866.88891601562
"83",1905.05004882812,1906.75,1862.59997558594,1874.30004882812,471750,1836.70690917969
"84",1880,1893.25,1851.65002441406,1857.40002441406,562177,1820.14562988281
