"","CIPLA.NS.Open","CIPLA.NS.High","CIPLA.NS.Low","CIPLA.NS.Close","CIPLA.NS.Volume","CIPLA.NS.Adjusted"
"1",608,617.849975585938,607,611.5,873546,582.648254394531
"2",614.200012207031,619,605.5,607.799987792969,1038258,579.122802734375
"3",611,613.900024414062,604.549987792969,606.799987792969,771828,578.170043945312
"4",609.450012207031,618.400024414062,603.450012207031,616.75,990602,587.650573730469
"5",617,619.849975585938,611.099975585938,615.150024414062,1072254,586.126037597656
"6",618.5,627.5,612.200012207031,615.049987792969,1061612,586.03076171875
"7",617,618.650024414062,610.650024414062,615.599975585938,846158,586.554748535156
"8",616,624.150024414062,612.849975585938,619.75,1207313,590.509033203125
"9",619,619,609.099975585938,612.349975585938,1092456,583.458129882812
"10",614,618.400024414062,603.099975585938,612.099975585938,891848,583.219909667969
"11",612.5,615.5,608.200012207031,610.25,470386,581.457214355469
"12",610.150024414062,613.5,599,601.400024414062,1088762,573.024841308594
"13",601.049987792969,610.599975585938,597.049987792969,607.150024414062,883340,578.503601074219
"14",608.099975585938,612.950012207031,598.25,603.650024414062,1028921,575.168640136719
"15",603.650024414062,605.099975585938,600.150024414062,602.75,818518,574.31103515625
"16",604.400024414062,605,593.099975585938,601.150024414062,933769,572.786560058594
"17",602.5,625,600.299987792969,622.349975585938,2105060,592.986328125
"18",621.950012207031,623.75,612.900024414062,618.299987792969,1089562,589.12744140625
"19",618.150024414062,631,613.700012207031,621.400024414062,2973765,592.081176757812
"20",624.950012207031,628.400024414062,611.099975585938,615,1564268,585.983093261719
"21",613,613.099975585938,603.200012207031,605.950012207031,596682,577.360107421875
"22",608,608.5,590,592.150024414062,1264055,564.211181640625
"23",591.900024414062,597,580.200012207031,587.049987792969,1050098,559.351867675781
"24",586,593.900024414062,575.099975585938,581.150024414062,998752,553.730224609375
"25",576,582.099975585938,571.200012207031,580.099975585938,797017,552.729797363281
"26",561,572,558.049987792969,564.25,1284112,537.627563476562
"27",578.5,579.900024414062,554.200012207031,569.25,3161498,542.391723632812
"28",584,617.150024414062,580.150024414062,612.650024414062,8349913,583.743957519531
"29",595,626,595,621.400024414062,2373799,592.081176757812
"30",629.349975585938,635,618.849975585938,621.650024414062,1957424,592.319396972656
"31",622.099975585938,630.299987792969,611.5,616.150024414062,1306512,587.078918457031
"32",613.25,621.450012207031,602.950012207031,605.849975585938,1391858,577.264831542969
"33",611.299987792969,613.950012207031,605.5,611.099975585938,906025,582.267150878906
"34",612,612.150024414062,594.349975585938,600.400024414062,1216005,572.071960449219
"35",603.450012207031,606.099975585938,592,603.450012207031,1599249,574.978149414062
"36",607,607.75,589.25,597.25,1409752,569.070556640625
"37",595,597.25,586.599975585938,589.650024414062,1859008,561.829162597656
"38",591.799987792969,605,590,595.650024414062,1576584,567.546081542969
"39",596.25,598.299987792969,588.75,590.099975585938,1417465,562.257873535156
"40",591.700012207031,598.900024414062,583.099975585938,586.5,1349590,558.827819824219
"41",590,596.599975585938,587.099975585938,589.650024414062,2255189,561.829162597656
"42",593.900024414062,593.900024414062,580.400024414062,581.700012207031,1343806,554.254272460938
"43",582.099975585938,585,578.049987792969,579.25,1179725,551.919799804688
"44",581.599975585938,589.400024414062,580.049987792969,584.099975585938,1891302,556.541076660156
"45",587.450012207031,589.099975585938,578.200012207031,580.200012207031,1849650,552.825073242188
"46",584,584,574,578,1084582,550.728820800781
"47",579.950012207031,585.200012207031,568.049987792969,571.049987792969,1149194,544.106811523438
"48",575.049987792969,582.200012207031,563.549987792969,580.650024414062,919792,553.253723144531
"49",579,582.900024414062,575.150024414062,578.75,801792,551.443481445312
"50",578.349975585938,583.799987792969,571.650024414062,577.900024414062,811747,550.633544921875
"51",578,579.599975585938,569,571.150024414062,849222,544.202087402344
"52",570.099975585938,574,557.049987792969,559.400024414062,1867538,533.006469726562
"53",563.650024414062,566.900024414062,555.400024414062,559.75,1447941,533.339965820312
"54",555.099975585938,561.849975585938,522.900024414062,552.900024414062,9119209,526.813110351562
"55",558.5,567.450012207031,546.400024414062,551.049987792969,3091963,525.050354003906
"56",551.900024414062,555,538.150024414062,540.75,1506405,515.236389160156
"57",539,540.700012207031,534,538.400024414062,1203262,512.997314453125
"58",538.150024414062,544.599975585938,532.950012207031,541.799987792969,1105319,516.23681640625
"59",541,549,541,545.049987792969,2206872,519.333435058594
"60",544,548.799987792969,534,545.450012207031,2667979,519.714660644531
"61",548,578.950012207031,545.900024414062,576.25,2823880,549.061462402344
"62",572,578.349975585938,568.799987792969,570.299987792969,2493190,543.392150878906
"63",572.349975585938,575.450012207031,564.5,569.799987792969,1852997,542.915710449219
"64",574,578.549987792969,558.349975585938,560.349975585938,2396864,533.91162109375
"65",560.299987792969,571,557.25,558.950012207031,2420324,532.577697753906
"66",565.900024414062,565.900024414062,555.5,556.75,1470765,530.481506347656
"67",558,567,556.599975585938,558.150024414062,1591682,531.815490722656
"68",560.700012207031,564,558.5,561.5,1789789,535.00732421875
"69",562.900024414062,562.950012207031,554.799987792969,556.150024414062,1309557,529.909790039062
"70",557.549987792969,561.150024414062,552.549987792969,555.5,1019158,529.290405273438
"71",553.049987792969,587.799987792969,553.049987792969,584.950012207031,6741354,557.350952148438
"72",585.549987792969,588.349975585938,575.700012207031,579.950012207031,2688507,552.5869140625
"73",582,597,582,584.599975585938,3853951,557.017456054688
"74",584.25,592,583.049987792969,584.400024414062,1525419,556.826843261719
"75",582.349975585938,593.400024414062,581.5,589.049987792969,1641179,561.257446289062
"76",576,601.75,576,600.150024414062,3016500,571.833801269531
"77",601,604.900024414062,595.099975585938,601.900024414062,2782988,573.501220703125
"78",600.5,600.5,586.200012207031,593.049987792969,1125208,565.068786621094
"79",591,602.900024414062,590.549987792969,599.950012207031,1503008,571.643249511719
"80",602,607,593,599.849975585938,1031376,571.547790527344
"81",602.200012207031,609,602,607.400024414062,687828,578.74169921875
"82",610,621.900024414062,608.950012207031,612,1862999,583.124633789062
"83",613,613.099975585938,597,609.299987792969,999887,580.552062988281
"84",612.099975585938,612.450012207031,595.5,597,925559,568.832397460938
"85",598.599975585938,600.099975585938,585,591.049987792969,1046885,563.1630859375
"86",592.400024414062,601.950012207031,586.549987792969,590.650024414062,1039491,562.781982421875
"87",591.400024414062,596,585.549987792969,588,652527,560.256958007812
"88",594,594.599975585938,572.5,575.5,2163326,548.346801757812
"89",577.049987792969,580.75,565.099975585938,573.700012207031,921890,546.631774902344
"90",575,580.5,570.849975585938,578.5,888370,551.205200195312
"91",579.799987792969,593,573.099975585938,575.799987792969,2049528,548.632629394531
"92",575,575,546,559.900024414062,4071898,533.48291015625
"93",557.900024414062,560,538.799987792969,553.75,3719963,527.623046875
"94",555,556,530,533.049987792969,1708157,507.899627685547
"95",531.650024414062,536.799987792969,516,520.450012207031,2013336,495.894165039062
"96",524.799987792969,531.099975585938,507.200012207031,524,3080285,499.276672363281
"97",515,564.900024414062,515,532.400024414062,7413823,507.280426025391
"98",536.5,544.549987792969,530,533.5,1925524,508.328460693359
"99",538.849975585938,538.849975585938,527.5,536.650024414062,1525355,511.329833984375
"100",534,548.299987792969,534,539.5,1460566,514.04541015625
"101",539.099975585938,542.599975585938,527.700012207031,530.599975585938,2656979,505.565216064453
"102",529.099975585938,529.099975585938,519.549987792969,525.599975585938,2156315,500.801147460938
"103",528.599975585938,533.650024414062,521.049987792969,524.799987792969,3539206,500.038940429688
"104",526.950012207031,530.75,521.049987792969,524.5,1625446,499.753112792969
"105",527.5,529,517.150024414062,520.700012207031,1247023,496.132385253906
"106",520.299987792969,544.75,517.700012207031,542.099975585938,3398337,516.522705078125
"107",542.099975585938,548,533.400024414062,538.450012207031,2909756,513.044860839844
"108",541.950012207031,542.549987792969,537.200012207031,540.700012207031,1119973,515.188781738281
"109",541.799987792969,562,538.75,559.650024414062,4815940,533.24462890625
"110",560,570,559,560.799987792969,3113604,534.34033203125
"111",561.900024414062,573,561,567.099975585938,3234303,540.343139648438
"112",569.950012207031,593.5,569.950012207031,582.099975585938,4657712,554.635437011719
"113",588.950012207031,592.900024414062,583.5,588.049987792969,3244655,560.3046875
"114",590,614.549987792969,589.799987792969,611.599975585938,7125922,582.743408203125
"115",612,618.799987792969,600.299987792969,606.5,2518169,577.884155273438
"116",606.25,610.450012207031,598.200012207031,601.849975585938,2992184,573.453491210938
"117",613,622.75,600.349975585938,602.849975585938,9121187,574.406372070312
"118",608.799987792969,609.700012207031,602,603.5,3052143,575.025634765625
"119",604,618.049987792969,595.25,615.75,3245849,586.69775390625
"120",615.099975585938,622.549987792969,608,611.400024414062,3253606,582.553039550781
"121",606,608.700012207031,597.25,599.5,2323337,571.214416503906
"122",602.5,606.950012207031,593,602.299987792969,2520918,573.882263183594
"123",604.5,609.900024414062,596,600.900024414062,4173735,572.548400878906
"124",601.5,619.900024414062,599.900024414062,616.650024414062,1525608,587.555297851562
"125",620,620,611,617,1502606,587.888732910156
"126",617,644.650024414062,608.049987792969,640.400024414062,5271600,610.184753417969
"127",644.950012207031,648,623.799987792969,628.900024414062,5043141,599.227355957031
"128",632,637,623.099975585938,626.549987792969,2127794,596.988098144531
"129",624.900024414062,631,610.400024414062,612.5,2514518,583.60107421875
"130",616.849975585938,625,615,622.900024414062,1462808,593.510437011719
"131",626.599975585938,633.900024414062,620.150024414062,632.049987792969,1872744,602.228637695312
"132",626.299987792969,630.5,621.299987792969,625.299987792969,1669583,595.797058105469
"133",629.400024414062,636.700012207031,622.700012207031,633.349975585938,2177684,603.467346191406
"134",634,634,624.200012207031,626.700012207031,1475306,597.131164550781
"135",629.400024414062,636,611.150024414062,620.950012207031,2211200,591.65234375
"136",621.900024414062,639.599975585938,620.099975585938,637.450012207031,2228377,607.373901367188
"137",640,644,625.099975585938,627.400024414062,2348371,597.798156738281
"138",629.799987792969,632.099975585938,606.150024414062,610.099975585938,1424272,581.314208984375
"139",614.950012207031,630,602.150024414062,625.799987792969,2832150,596.273559570312
"140",623.150024414062,637.299987792969,617.25,634.099975585938,1553101,604.181945800781
"141",633.950012207031,633.950012207031,624.5,627.349975585938,1319369,597.750427246094
"142",629,631,613.450012207031,623.900024414062,1413265,594.463195800781
"143",619,631.25,617.450012207031,627.849975585938,3163498,598.226745605469
"144",627.75,641.900024414062,625.900024414062,636.200012207031,1508269,606.182861328125
"145",633,636.25,628,634.299987792969,990056,604.372436523438
"146",636.950012207031,647,628.099975585938,641.349975585938,2469759,611.089904785156
"147",641,641.549987792969,635,639.150024414062,2411436,608.993774414062
"148",635,651.900024414062,633.049987792969,638.5,3974559,608.374389648438
"149",640.950012207031,647.599975585938,639,641.049987792969,1530339,610.804016113281
"150",647,648.799987792969,635.299987792969,637.950012207031,2716402,607.850280761719
"151",642.900024414062,642.900024414062,627.099975585938,629.450012207031,2414266,599.751220703125
"152",629,645.450012207031,623.599975585938,632.549987792969,4121062,602.705078125
"153",649,662.5,616.700012207031,619.150024414062,9996909,589.937316894531
"154",624.950012207031,628.5,614.5,621.049987792969,3168280,591.747680664062
"155",622,631.549987792969,619.200012207031,628.299987792969,2374657,601.561462402344
"156",629.099975585938,647,624,642.75,2451003,615.396484375
"157",644.700012207031,660,634.25,648.349975585938,3925549,620.758178710938
"158",650.049987792969,655.5,643.700012207031,646.900024414062,2915387,619.369812011719
"159",649.900024414062,653.5,642.400024414062,643.849975585938,1296664,616.449645996094
"160",647.900024414062,654.450012207031,644,650.25,1981523,622.577392578125
"161",653.450012207031,665,652.700012207031,657.950012207031,2891829,629.949645996094
"162",658,658,645,651.200012207031,1904031,623.486877441406
"163",653,662.5,648.200012207031,659.599975585938,1381724,631.529418945312
"164",662,677.5,644.650024414062,648.299987792969,5237362,620.710266113281
"165",650,653.650024414062,640,643.5,1891523,616.114624023438
"166",645,651.900024414062,640.5,649.450012207031,2124122,621.811401367188
"167",649.549987792969,664,649.549987792969,662.150024414062,3056580,633.970886230469
"168",665.5,671.200012207031,646.599975585938,649.099975585938,1971733,621.476257324219
"169",649.799987792969,655,638.400024414062,643.900024414062,2249087,616.49755859375
"170",645.049987792969,650.900024414062,637.200012207031,646.549987792969,2542543,619.034790039062
"171",651,664.700012207031,647,662.099975585938,2841096,633.923034667969
"172",663.849975585938,669.5,656.299987792969,664.75,2431363,636.460205078125
"173",665,678,664,668.049987792969,3453432,639.619873046875
"174",670.099975585938,675,650.599975585938,654.900024414062,3399042,627.029541015625
"175",654.900024414062,662,643.25,656.450012207031,3302191,628.513427734375
"176",664,670,659.049987792969,666.400024414062,1512857,638.0400390625
"177",673,673,660.400024414062,664.900024414062,2220455,636.603881835938
