"","DLF.NS.Open","DLF.NS.High","DLF.NS.Low","DLF.NS.Close","DLF.NS.Volume","DLF.NS.Adjusted"
"1",259.450012207031,262.450012207031,255.199996948242,256.700012207031,4935049,241.960372924805
"2",258.450012207031,259.700012207031,251.399993896484,253.899993896484,5496883,239.321136474609
"3",254,261.899993896484,254,258.299987792969,7342607,243.468490600586
"4",258.25,260.200012207031,255.550003051758,257.5,4123938,242.714447021484
"5",258.350006103516,265.25,257.600006103516,259.950012207031,7238574,245.023742675781
"6",260.799987792969,262.700012207031,258.149993896484,260.25,3945670,245.306503295898
"7",260.899993896484,271.399993896484,258.25,269.850006103516,13135536,254.355270385742
"8",270.600006103516,272.25,265.700012207031,269.350006103516,10967347,253.884017944336
"9",269,273.850006103516,267.350006103516,270.5,6530547,254.96794128418
"10",270.75,272.149993896484,262.350006103516,268.549987792969,5842102,253.129943847656
"11",268.549987792969,271.450012207031,265.600006103516,266.850006103516,3449870,251.527572631836
"12",268.25,268.399993896484,256,257.549987792969,5899206,242.761566162109
"13",258.700012207031,263.649993896484,249.75,262.600006103516,7901148,247.521560668945
"14",263.399993896484,264.950012207031,246.800003051758,250.199996948242,6764646,235.833587646484
"15",249,252.75,245.550003051758,249.300003051758,6511361,234.985260009766
"16",250.5,253.100006103516,245.600006103516,250.949996948242,5026796,236.54052734375
"17",250.600006103516,262.200012207031,250.600006103516,259.649993896484,9049840,244.740966796875
"18",259,265.399993896484,256.600006103516,258.950012207031,9439889,244.081192016602
"19",256.950012207031,261.5,252.550003051758,253.600006103516,5921504,239.038375854492
"20",255.100006103516,260.25,250.75,254.050003051758,5914647,239.462509155273
"21",251.5,256.399993896484,251.5,253.899993896484,5013590,239.321136474609
"22",253.050003051758,257.600006103516,247.550003051758,250.100006103516,6309912,235.739303588867
"23",251.699996948242,253.699996948242,236.699996948242,245,10509963,230.932144165039
"24",240,242.300003051758,204.5,223.399993896484,16904503,210.57243347168
"25",218.399993896484,231.600006103516,214,228.300003051758,10372280,215.19108581543
"26",212.050003051758,230.75,210,225.449996948242,12918029,212.50471496582
"27",229,232,223,225.25,9498474,212.316207885742
"28",225.899993896484,233.699996948242,225.350006103516,229.350006103516,8201053,216.180801391602
"29",222,232.300003051758,221.5,229.050003051758,7906691,215.898025512695
"30",231.899993896484,237.449996948242,230,233.75,7012358,220.328125
"31",239.699996948242,239.699996948242,229.699996948242,230.949996948242,8092805,217.688919067383
"32",233,235.399993896484,227.850006103516,231.149993896484,5417282,217.877410888672
"33",232.649993896484,234.350006103516,224.300003051758,225.649993896484,6524609,212.693252563477
"34",224.899993896484,225.5,218.25,223.399993896484,7983021,210.57243347168
"35",223.649993896484,227.5,221.5,225.100006103516,5759220,212.174835205078
"36",226.5,227,218.600006103516,221,5996226,208.310241699219
"37",219.350006103516,222.100006103516,218.25,219.850006103516,6933969,207.226287841797
"38",220.199996948242,225.800003051758,220.050003051758,225.149993896484,4446123,212.221954345703
"39",227.300003051758,230,224.25,228.149993896484,4593608,215.049667358398
"40",228.899993896484,228.899993896484,221.199996948242,222.449996948242,4117630,209.677001953125
"41",220.800003051758,227.5,219.25,226.25,6333501,213.2587890625
"42",225.550003051758,228.25,223.149993896484,224.300003051758,3581145,211.420776367188
"43",221.300003051758,223.949996948242,219.699996948242,222.899993896484,3539064,210.101135253906
"44",224.399993896484,226.649993896484,214.050003051758,216.550003051758,6144090,204.115753173828
"45",215,217.75,212.199996948242,215.449996948242,5878878,203.078903198242
"46",216.550003051758,219.649993896484,209.75,218.399993896484,6237904,205.859527587891
"47",220.300003051758,220.550003051758,210,211.350006103516,5137684,199.21435546875
"48",215,218.25,210.149993896484,217.699996948242,6107809,205.199737548828
"49",216.600006103516,223.350006103516,214.899993896484,219.899993896484,6433609,207.273376464844
"50",219,221.899993896484,217.5,220.949996948242,4388182,208.263092041016
"51",220,227.25,219.199996948242,225.449996948242,5972448,212.50471496582
"52",225.5,229.699996948242,224.5,226.300003051758,10153974,213.305908203125
"53",226,227.399993896484,211.800003051758,214.350006103516,6851893,202.042083740234
"54",212.100006103516,217.899993896484,211.949996948242,215.399993896484,6577013,203.031814575195
"55",217.399993896484,218.949996948242,214.850006103516,216.050003051758,3574529,203.644470214844
"56",216.100006103516,217.449996948242,212,213.199996948242,4863917,200.958114624023
"57",207,209.899993896484,200.800003051758,203,8236891,191.343795776367
