"","ABB.NS.Open","ABB.NS.High","ABB.NS.Low","ABB.NS.Close","ABB.NS.Volume","ABB.NS.Adjusted"
"1",1281.896484375,1282.80432128906,1261.96899414062,1270.68444824219,49258,1221.99072265625
"2",1271.00219726562,1293.51708984375,1263.78466796875,1271.18371582031,69302,1222.47082519531
"3",1271.91003417969,1293.24475097656,1271.91003417969,1284.12072753906,63302,1234.912109375
"4",1289.15930175781,1316.34973144531,1284.61999511719,1301.23388671875,170003,1251.36975097656
"5",1300.0537109375,1323.65795898438,1298.23791503906,1302.86804199219,109218,1252.94104003906
"6",1310.94799804688,1314.080078125,1298.23791503906,1305.1376953125,144080,1255.12377929688
"7",1311.49267578125,1311.49267578125,1282.07800292969,1288.52380371094,95526,1239.14660644531
"8",1289.34094238281,1295.51440429688,1269.68579101562,1284.98315429688,74134,1235.74157714844
"9",1289.15930175781,1289.15930175781,1266.96215820312,1270.63903808594,35345,1221.94714355469
"10",1273.81652832031,1379.03735351562,1273.81652832031,1341.63354492188,339454,1290.22082519531
"11",1348.17016601562,1384.48449707031,1342.54138183594,1375.22436523438,316891,1322.52490234375
"12",1381.76098632812,1397.10375976562,1336.91271972656,1370.18579101562,144577,1317.67907714844
"13",1375.40588378906,1414.17150878906,1348.66943359375,1405.81921386719,100599,1351.94702148438
"14",1408.99670410156,1420.798828125,1357.24877929688,1399.82727050781,110240,1346.18481445312
"15",1398.60168457031,1470.73107910156,1373.22705078125,1439.72766113281,115760,1384.55590820312
"16",1448.03466796875,1462.74194335938,1420.798828125,1454.66198730469,87953,1398.91845703125
"17",1463.46826171875,1497.966796875,1434.41674804688,1488.61584472656,250981,1431.57080078125
"18",1408.99670410156,1520.66333007812,1408.99670410156,1513.99060058594,141799,1455.97326660156
"19",1499.78259277344,1531.5576171875,1475.27038574219,1506.40991210938,91143,1448.68322753906
"20",1506.50073242188,1506.50073242188,1461.65246582031,1472.365234375,105080,1415.94299316406
"21",1475.27038574219,1484.34899902344,1450.39501953125,1457.83947753906,43457,1401.97387695312
"22",1452.61926269531,1511.58471679688,1439.45532226562,1500.87194824219,138100,1443.35729980469
"23",1497.966796875,1563.24194335938,1486.16467285156,1543.76831054688,220831,1484.60998535156
"24",1536.55090332031,1588.02648925781,1497.966796875,1523.88623046875,161982,1465.48962402344
"25",1489.38757324219,1529.74194335938,1466.23718261719,1477.85778808594,104230,1421.22521972656
"26",1441.67956542969,1477.99401855469,1411.72021484375,1469.50549316406,49393,1413.19274902344
"27",1469.8232421875,1508.22570800781,1425.33813476562,1433.05493164062,49980,1378.13903808594
"28",1443.99462890625,1486.16467285156,1435.32458496094,1447.8984375,115493,1392.41394042969
"29",1434.41674804688,1467.91674804688,1413.58142089844,1444.22155761719,168280,1388.87780761719
"30",1444.22155761719,1468.00756835938,1423.5224609375,1462.24255371094,40140,1406.20812988281
"31",1472.54675292969,1483.44116210938,1417.62133789062,1427.24462890625,47423,1372.55163574219
"32",1441.45263671875,1441.45263671875,1405.365234375,1407.63488769531,38513,1353.69311523438
"33",1416.16882324219,1424.8388671875,1368.14306640625,1375.08813476562,55865,1322.3935546875
"34",1370.86657714844,1374.99743652344,1335.64172363281,1350.30358886719,32413,1298.55895996094
"35",1355.296875,1390.56713867188,1340.27185058594,1370.23107910156,50915,1317.72265625
"36",1383.89440917969,1393.51770019531,1367.37133789062,1372.1376953125,38791,1319.55627441406
"37",1379.94519042969,1384.48449707031,1352.89099121094,1376.54077148438,35629,1323.79040527344
"38",1367.23522949219,1392.60986328125,1367.23522949219,1382.89575195312,37973,1329.90209960938
"39",1393.56311035156,1400.50817871094,1373.68103027344,1378.22033691406,69694,1325.40576171875
"40",1381.76098632812,1399.01025390625,1380.17224121094,1387.52587890625,45379,1334.35473632812
"41",1379.03735351562,1407.18103027344,1370.86657714844,1390.61254882812,130752,1337.3232421875
"42",1379.94519042969,1405.81921386719,1367.55297851562,1384.62072753906,81630,1331.56103515625
"43",1384.62072753906,1389.61389160156,1344.99267578125,1353.16333007812,42759,1301.30920410156
"44",1361.7880859375,1383.57666015625,1317.30297851562,1339.50012207031,80176,1288.16943359375
"45",1326.42700195312,1334.55224609375,1291.24743652344,1303.27661132812,76147,1253.333984375
"46",1316.25891113281,1316.25891113281,1289.20471191406,1294.37951660156,27063,1244.77795410156
"47",1300.0537109375,1316.75830078125,1299.14575195312,1305.22839355469,173412,1255.21081542969
"48",1316.21350097656,1316.39514160156,1292.42761230469,1301.50622558594,17781,1251.63159179688
"49",1306.04553222656,1307.18029785156,1272.81787109375,1280.80700683594,42171,1231.7255859375
"50",1282.80432128906,1282.80432128906,1253.75280761719,1262.15051269531,54371,1213.78393554688
"51",1268.27856445312,1271.22912597656,1242.85852050781,1246.58081054688,61594,1198.81066894531
"52",1253.75280761719,1255.56860351562,1204.41076660156,1213.62548828125,112192,1167.11853027344
"53",1216.53063964844,1221.06994628906,1189.294921875,1195.92224121094,58597,1150.09350585938
"54",1198.28271484375,1203.82067871094,1177.49267578125,1184.48327636719,127983,1139.09289550781
"55",1193.65258789062,1193.65258789062,1173.95202636719,1177.49267578125,54322,1132.37023925781
"56",1188.84094238281,1192.88098144531,1157.51989746094,1170.95617675781,60640,1126.08422851562
"57",1158.427734375,1170.04833984375,1152.98059082031,1160.15258789062,39366,1115.69470214844
"58",1162.05908203125,1181.71423339844,1156.43041992188,1163.78405761719,38588,1119.18688964844
"59",1167.09777832031,1189.24951171875,1150.48388671875,1157.47448730469,57101,1113.119140625
"60",1166.14453125,1180.21630859375,1155.7041015625,1175.35925292969,74764,1130.31848144531
"61",1199.91687011719,1199.96228027344,1168.41418457031,1173.63427734375,33019,1128.65966796875
"62",1180.21630859375,1180.26171875,1159.51708984375,1164.9189453125,75294,1120.2783203125
"63",1175.58618164062,1180.21630859375,1150.75634765625,1154.20617675781,48921,1109.97607421875
"64",1175.67700195312,1180.21630859375,1157.51989746094,1160.7880859375,110672,1116.3056640625
"65",1167.86938476562,1180.21630859375,1165.05505371094,1172.36328125,41396,1127.4375
"66",1171.63708496094,1180.21630859375,1167.91479492188,1171.95483398438,98762,1127.04443359375
"67",1180.1708984375,1186.97985839844,1168.41418457031,1170.63842773438,38524,1125.77844238281
"68",1175.67700195312,1180.080078125,1157.56518554688,1160.19799804688,50442,1115.73815917969
"69",1157.51989746094,1165.73596191406,1152.07263183594,1155.02319335938,74054,1110.76184082031
"70",1152.98059082031,1173.40734863281,1151.11938476562,1154.52392578125,55440,1110.28173828125
"71",1148.94055175781,1159.42639160156,1133.00769042969,1141.5869140625,170991,1097.84033203125
"72",1144.2197265625,1158.427734375,1144.2197265625,1147.9873046875,35496,1103.99560546875
"73",1156.56652832031,1156.56652832031,1138.45483398438,1139.95275878906,29674,1096.26879882812
"74",1141.31457519531,1152.98059082031,1133.00769042969,1134.50561523438,52542,1091.03039550781
"75",1134.82336425781,1179.98937988281,1134.00634765625,1156.97509765625,259743,1112.63879394531
"76",1169.32202148438,1225.60925292969,1162.55847167969,1210.44799804688,278307,1164.06274414062
"77",1216.53063964844,1240.13500976562,1211.99133300781,1228.92297363281,216733,1181.82971191406
"78",1225.51843261719,1253.662109375,1192.92626953125,1228.46899414062,245780,1181.39318847656
"79",1231.69189453125,1256.47644042969,1201.32397460938,1218.21020507812,114256,1171.52746582031
"80",1223.52111816406,1251.029296875,1208.85925292969,1216.3037109375,74053,1173.93420410156
"81",1224.88293457031,1243.76635742188,1216.66687011719,1233.32604980469,57374,1190.36340332031
"82",1239.68103027344,1243.63024902344,1211.99133300781,1220.2529296875,144475,1177.74572753906
"83",1220.97912597656,1220.97912597656,1178.40063476562,1188.20544433594,76008,1146.81469726562
"84",1188.38708496094,1205.09167480469,1164.78271484375,1167.50622558594,121216,1126.83642578125
"85",1172.04553222656,1188.34167480469,1155.93103027344,1166.50769042969,117509,1125.87268066406
"86",1172.90808105469,1185.66345214844,1154.11535644531,1163.05773925781,201144,1122.54296875
"87",1156.29418945312,1175.72241210938,1136.63903808594,1150.48388671875,426064,1110.40686035156
"88",1162.96704101562,1162.96704101562,1148.30505371094,1151.30102539062,89302,1111.19567871094
"89",1157.51989746094,1158.427734375,1121.47790527344,1130.42028808594,152628,1091.04223632812
"90",1130.28405761719,1148.44128417969,1106.22583007812,1136.3212890625,86414,1096.73767089844
"91",1134.82336425781,1147.30639648438,1121.16015625,1126.47106933594,25054,1087.23059082031
