"","HAVELLS.NS.Open","HAVELLS.NS.High","HAVELLS.NS.Low","HAVELLS.NS.Close","HAVELLS.NS.Volume","HAVELLS.NS.Adjusted"
"1",566.700012207031,566.700012207031,552,554.450012207031,466717,526.52490234375
"2",555,557.650024414062,545.299987792969,549.25,685576,521.586669921875
"3",551,560.349975585938,548.5,555.650024414062,968648,527.664428710938
"4",558,563.900024414062,552.450012207031,562.849975585938,1178675,534.501647949219
"5",565,575.900024414062,563.799987792969,566.049987792969,1638665,537.54052734375
"6",566.5,571.5,560.900024414062,563.099975585938,893255,534.739135742188
"7",561.5,561.5,549.5,552.25,757837,524.435668945312
"8",551.75,556.349975585938,545,549.700012207031,1264788,522.014038085938
"9",549,554.849975585938,546.25,548.799987792969,550622,521.159362792969
"10",549.5,552.549987792969,545.5,549.099975585938,873027,521.4443359375
"11",548,559.900024414062,548,558.5,907127,530.370910644531
"12",562,563.900024414062,552.450012207031,556.700012207031,818384,528.661499023438
"13",555.5,560.799987792969,543.049987792969,559.349975585938,575557,531.178039550781
"14",562.75,563.349975585938,546.099975585938,552.099975585938,377507,524.293151855469
"15",548,551.099975585938,539.599975585938,547.599975585938,977335,520.019775390625
"16",548.599975585938,564.150024414062,538.700012207031,552.650024414062,2573233,524.815490722656
"17",565,587.75,563.099975585938,584.150024414062,4397044,554.728942871094
"18",584.900024414062,585,572.400024414062,576.25,1348575,547.226867675781
"19",575,590.5,573.799987792969,580.549987792969,2121732,551.310241699219
"20",582,592.5,573.799987792969,575.5,1633198,546.5146484375
"21",575.349975585938,576.950012207031,552,552.849975585938,1050928,525.005310058594
"22",540,540,518.099975585938,522.349975585938,7290911,496.041595458984
"23",525.799987792969,532.700012207031,511.200012207031,525.400024414062,1727081,498.937957763672
"24",519,523.5,504.649993896484,509.600006103516,1090876,483.933715820312
"25",509.899993896484,515.799987792969,493.549987792969,499.049987792969,1543999,473.915100097656
"26",474.950012207031,509.950012207031,450,505.799987792969,2052384,480.325073242188
"27",511,519.200012207031,488,504.200012207031,2055308,478.805725097656
"28",510.549987792969,523,507.049987792969,520.900024414062,998079,494.66455078125
"29",503.100006103516,521,503.100006103516,515.25,891993,489.299133300781
"30",519.200012207031,521.599975585938,512.400024414062,516.049987792969,724602,490.058898925781
"31",516.5,521.200012207031,511.700012207031,514.400024414062,715021,488.492034912109
"32",515.099975585938,525.799987792969,512.200012207031,516.25,1296081,490.248840332031
"33",519.799987792969,520.299987792969,499.850006103516,504.25,1295373,478.853149414062
"34",508.950012207031,508.950012207031,498.100006103516,504.049987792969,1196926,478.663238525391
"35",508.850006103516,511.899993896484,502.799987792969,508.649993896484,544607,483.031585693359
"36",510.850006103516,511.600006103516,500.200012207031,506.350006103516,720502,480.847442626953
"37",505,507.600006103516,492.700012207031,495.200012207031,1700808,470.259002685547
