"","TATAPOWER.NS.Open","TATAPOWER.NS.High","TATAPOWER.NS.Low","TATAPOWER.NS.Close","TATAPOWER.NS.Volume","TATAPOWER.NS.Adjusted"
"1",93.8000030517578,100,92.4000015258789,97.1500015258789,33659894,84.2979354858398
"2",98.25,100.25,96.1500015258789,99.6999969482422,29174233,86.5105895996094
"3",100.300003051758,101.599998474121,99.5999984741211,100.800003051758,23056832,87.465087890625
"4",100.949996948242,101,99.25,99.5999984741211,6688043,86.4238204956055
"5",99.8000030517578,101.800003051758,99.3000030517578,99.5500030517578,11646646,86.3804397583008
"6",100,100.5,98.9000015258789,99.8499984741211,5874354,86.640754699707
"7",100.050003051758,101.5,98.3000030517578,98.5999984741211,8661596,85.5561218261719
"8",98.8499984741211,99.9000015258789,97.0999984741211,98.25,5961340,85.2524108886719
"9",98.3000030517578,100.25,97.8000030517578,99.5500030517578,7143154,86.3804397583008
"10",99.6999969482422,101.150001525879,97.4499969482422,99.0500030517578,8351731,85.9465866088867
"11",99.5500030517578,99.8000030517578,97.6999969482422,97.9499969482422,4943917,84.9921035766602
"12",98.1999969482422,98.4499969482422,92.9000015258789,93.6500015258789,9672170,81.2609481811523
"13",93.6999969482422,94,91.5,93.1999969482422,11511446,80.870475769043
"14",93.9000015258789,94.25,90.0500030517578,90.5999984741211,8188295,78.6144332885742
"15",90.6999969482422,92.5,90.1999969482422,92.1999969482422,4545029,80.0027847290039
"16",92.5999984741211,92.75,91.25,92.0999984741211,3904900,79.9160079956055
"17",92.25,93.4000015258789,91.75,92.5,4928177,80.2630767822266
"18",92.25,92.9000015258789,90.8499984741211,91.8000030517578,4353614,79.6556930541992
"19",91.8499984741211,92.5999984741211,89.5500030517578,89.9499969482422,10848150,78.0504150390625
"20",90.0999984741211,91.1500015258789,89.4499969482422,90.0500030517578,4361006,78.13720703125
"21",88.6500015258789,91.4000015258789,88.1500015258789,90.5999984741211,6984202,78.6144332885742
"22",90.4000015258789,91.1999969482422,88.5500030517578,89,5862598,77.2261123657227
"23",89,90.8499984741211,87.75,89.6999969482422,9055967,77.8335113525391
"24",88.4000015258789,88.6999969482422,84.1500015258789,84.8000030517578,6950966,73.5817260742188
"25",83.4000015258789,85.5,82.3499984741211,85,5165430,73.7552642822266
"26",82,84.1999969482422,79.5500030517578,82.8000030517578,7742393,71.8463134765625
"27",83.9499969482422,85.8499984741211,83.6999969482422,84.6999969482422,5612811,73.4949569702148
"28",84.9499969482422,86.1500015258789,84.6500015258789,85.0500030517578,3975580,73.7986602783203
"29",82.5,85.9499969482422,82.5,85.0500030517578,3539836,73.7986602783203
"30",85.5,87.3499984741211,85.5,86.75,3958245,75.2737503051758
"31",87.5,88.9000015258789,86.4499969482422,87.0999984741211,8735379,75.5774536132812
"32",88.8000030517578,88.8000030517578,85.5999984741211,86.25,4726842,74.8399200439453
"33",86.5,87.4000015258789,85.8499984741211,86.6500015258789,3919700,75.1869812011719
"34",86.6999969482422,86.8499984741211,85,86.0999984741211,3506211,74.7097473144531
"35",86.0999984741211,86.8000030517578,85.5500030517578,86.4000015258789,2973442,74.9700546264648
"36",86.5,87.0999984741211,84.5999984741211,86.3499984741211,6105693,74.9266738891602
"37",86.1999969482422,87.1999969482422,83.4499969482422,84.9000015258789,11344724,73.6685028076172
"38",85,86.4499969482422,84.5,85.75,6224406,74.4060440063477
"39",85.8499984741211,87.0999984741211,85.5999984741211,85.9000015258789,5083760,74.5362014770508
"40",86.3499984741211,86.9000015258789,85.3000030517578,85.6500015258789,3483539,74.3192749023438
"41",85.5500030517578,85.8000030517578,84.25,84.5,3879178,73.3214111328125
"42",85,85.9499969482422,83.9499969482422,84.3000030517578,6936315,73.1478729248047
"43",84.3000030517578,84.3000030517578,81.4000015258789,82.1500015258789,5009614,71.2823104858398
"44",82.5999984741211,83.1500015258789,81.0999984741211,81.75,4764070,70.9352188110352
"45",81.1999969482422,81.6999969482422,79,79.1999969482422,3996821,68.7225494384766
"46",78.5999984741211,80.4000015258789,77,79.9000015258789,8699087,69.329948425293
"47",80,81.5999984741211,79.8000030517578,80,5486959,69.4167098999023
"48",80.5500030517578,81.0500030517578,79.9499969482422,80.8499984741211,3328605,70.1542739868164
"49",80.8000030517578,82.25,80.4000015258789,81.3499984741211,5000216,70.588134765625
"50",81.25,81.4000015258789,79.8499984741211,80.4000015258789,3251098,69.7638092041016
"51",80.5999984741211,81.1999969482422,80,80.25,3876762,69.6336517333984
"52",80.25,80.6500015258789,79.6999969482422,79.9499969482422,9813941,69.3733367919922
"53",79.9499969482422,80.5,78.8499984741211,79.5500030517578,4114695,69.0262603759766
"54",78.8000030517578,80.5500030517578,78.8000030517578,80.3499984741211,2206517,69.7204208374023
"55",80.4000015258789,80.75,79.8000030517578,79.9499969482422,5279874,69.3733367919922
"56",79.9000015258789,80.3499984741211,79.75,80,3112967,69.4167098999023
"57",78,80.3000030517578,78,80,6418882,69.4167098999023
"58",81,81.25,78.75,79.9000015258789,6556759,69.329948425293
"59",80.4499969482422,81.5,79.6999969482422,80.0999984741211,4073519,69.5035018920898
"60",79.8000030517578,80.3499984741211,78.3499984741211,79,10620637,68.5490112304688
"61",79,82.1999969482422,78.75,81.9000015258789,3657360,71.0653762817383
"62",81.1500015258789,84.5999984741211,81.1500015258789,84.4499969482422,3298435,73.2780303955078
"63",84.6999969482422,85.9499969482422,82.5500030517578,83.0500030517578,4973672,72.0632476806641
"64",84,84.75,83.3000030517578,83.5,2956519,72.4537124633789
