"","POWERGRID.NS.Open","POWERGRID.NS.High","POWERGRID.NS.Low","POWERGRID.NS.Close","POWERGRID.NS.Volume","POWERGRID.NS.Adjusted"
"1151",171.1875,171.675003051758,169.199996948242,170.287506103516,7517013,150.332733154297
"1152",171.149993896484,172.6875,171.074996948242,172.199996948242,7214498,152.021102905273
"1153",168.787506103516,172.574996948242,168.75,169.574996948242,13109081,149.703720092773
"1154",170.625,171.637496948242,167.850006103516,168.149993896484,6897237,148.445693969727
"1155",168.75,169.162506103516,166.274993896484,167.550003051758,18055474,147.916000366211
"1156",168,171,168,168.787506103516,14103701,149.008514404297
"1157",167.287506103516,170.212493896484,167.287506103516,168.300003051758,7866745,148.578140258789
"1158",169.5,170.175003051758,167.587493896484,168.300003051758,7187735,148.578140258789
"1159",169.537506103516,169.612503051758,166.875,167.175003051758,9162027,147.5849609375
"1160",167.662506103516,168.524993896484,166.649993896484,167.962493896484,8778919,148.280166625977
"1161",168.225006103516,170.625,167.850006103516,170.100006103516,11278383,150.167190551758
"1162",168.75,174.899993896484,168.524993896484,174.412506103516,25072958,153.974349975586
"1163",175.087493896484,178.6875,174.262496948242,178.199996948242,23606369,157.318008422852
"1164",178.800003051758,178.837493896484,175.050003051758,176.737503051758,29399642,156.026901245117
"1165",176.962493896484,178.574996948242,173.737503051758,174.862503051758,13920046,154.371627807617
"1166",175.5,177.1875,174.074996948242,174.524993896484,20162973,154.073654174805
"1167",175.387496948242,175.762496948242,168.225006103516,170.287506103516,14468837,150.332733154297
"1168",168,169.800003051758,164.362503051758,165.074996948242,26264530,145.731048583984
"1169",163.725006103516,164.8125,148.574996948242,151.912506103516,87162722,134.110961914062
"1170",150,157.012496948242,139.762496948242,150.637496948242,167547134,132.985366821289
"1171",154.350006103516,155.925003051758,150.9375,153.637496948242,54127095,135.633804321289
"1172",153.899993896484,157.800003051758,151.912506103516,155.774993896484,52877873,137.52082824707
"1173",156.712493896484,159.074996948242,154.537506103516,156,36761869,137.719467163086
"1174",155.25,164.024993896484,155.25,159.149993896484,62897614,140.500350952148
"1175",159.75,160.987503051758,156.75,158.100006103516,11740863,139.573394775391
"1176",159.074996948242,159.262496948242,156,156.337493896484,19179333,138.01741027832
"1177",156.637496948242,158.175003051758,154.199996948242,154.725006103516,20692745,136.593872070312
"1178",153,157.3125,153,157.050003051758,14282850,138.646438598633
"1179",155.962493896484,158.962493896484,155.662506103516,156.712493896484,16834226,138.34846496582
