"","CANBK.NS.Open","CANBK.NS.High","CANBK.NS.Low","CANBK.NS.Close","CANBK.NS.Volume","CANBK.NS.Adjusted"
"1",72.3399963378906,73.1999969482422,71.8099975585938,72.1399993896484,4383275,65.3308868408203
"2",72.4400024414062,72.7300033569336,69.9000015258789,70.4100036621094,7222740,63.7641792297363
"3",70.4199981689453,71.2699966430664,70.2300033569336,70.5599975585938,6931120,63.9000205993652
"4",70.9800033569336,73.120002746582,70.4000015258789,72.5100021362305,13793080,65.6659698486328
"5",73.1600036621094,73.4800033569336,71.8499984741211,72.9700012207031,9965415,66.0825424194336
"6",73,73.8899993896484,72.620002746582,72.9499969482422,6076250,66.0644302368164
"7",73.0199966430664,73.7300033569336,72.2099990844727,72.9400024414062,9509470,66.0553817749023
"8",72.8000030517578,73.0699996948242,70.5899963378906,70.9300003051758,9585550,64.2350997924805
"9",70.9199981689453,71.6600036621094,70.6100006103516,71.0999984741211,5764925,64.389045715332
"10",71.2699966430664,71.75,70.0699996948242,70.7900009155273,6967765,64.1083145141602
"11",70.8000030517578,71.7399978637695,70.5,70.870002746582,7813505,64.1807556152344
"12",71,71.2600021362305,67.629997253418,67.9000015258789,9500645,61.4910926818848
"13",67.7099990844727,71.5999984741211,67,70.9499969482422,18141360,64.2532043457031
"14",72.3899993896484,72.4400024414062,67.7399978637695,69.8600006103516,17869415,63.2660942077637
"15",69.9000015258789,73.2300033569336,69.3600006103516,72.5400009155273,16069165,65.6931304931641
"16",72,73.1999969482422,71.1600036621094,72.5899963378906,8990595,65.7384033203125
"17",73,75.7399978637695,71.9199981689453,74.9000015258789,20994160,67.8303756713867
"18",74.7600021362305,76.4100036621094,73.6100006103516,75.8499984741211,25651420,68.6907043457031
"19",76.9400024414062,76.9800033569336,71.6600036621094,72.2699966430664,29873390,65.4486083984375
"20",71.879997253418,72.7099990844727,68.379997253418,69.1100006103516,19740000,62.5868797302246
"21",69,70.7900009155273,68,69.879997253418,17457855,63.2841987609863
"22",69.0199966430664,70.4000015258789,67.7699966430664,68.2699966430664,12633530,61.8261642456055
"23",68.4000015258789,68.8000030517578,65.7399978637695,65.9800033569336,16057240,59.7523155212402
"24",65,65,61.6399993896484,62.2599983215332,43755880,56.383430480957
"25",60.7999992370605,63.9599990844727,59.5699996948242,63.5299987792969,22629165,57.5335578918457
"26",60.0099983215332,64.5999984741211,59.1599998474121,63.7900009155273,25995605,57.7690238952637
"27",64.6399993896484,65.6900024414062,62.4099998474121,62.8699989318848,18262310,56.9358558654785
"28",62.7999992370605,65.5999984741211,62.5200004577637,64.629997253418,18304790,58.5297355651855
"29",63.0800018310547,64.7799987792969,62.2900009155273,64.2300033569336,12850775,58.1674919128418
"30",64,66.7300033569336,63.8300018310547,65.5599975585938,16125245,59.3719482421875
"31",65.5999984741211,65.5999984741211,61.4500007629395,61.7599983215332,24081195,55.9306259155273
"32",61.5999984741211,63.4000015258789,60.5400009155273,62.0699996948242,25902660,56.2113647460938
"33",62.5400009155273,62.7999992370605,60.6199989318848,61.4900016784668,15997415,55.6861152648926
"34",61.5999984741211,61.7799987792969,57.2299995422363,60.8400001525879,37966880,55.0974655151367
"35",61.0699996948242,63.2000007629395,59.8300018310547,62.25,31124705,56.3743782043457
"36",62.939998626709,63,60.7999992370605,62.3400001525879,16906105,56.455883026123
"37",61.7400016784668,62.4000015258789,61.4000015258789,61.8400001525879,15410465,56.0030784606934
"38",62.3699989318848,63.3199996948242,62,62.7700004577637,12830865,56.8452949523926
"39",63.1399993896484,63.2700004577637,61.6300010681152,61.9799995422363,12756305,56.1298637390137
"40",61.5999984741211,61.7000007629395,58.6599998474121,59.1199989318848,32849580,53.5398063659668
"41",57.4000015258789,60.5999984741211,57.0900001525879,59.8499984741211,41381570,54.2009086608887
"42",58.0099983215332,59.939998626709,57.7700004577637,58.060001373291,41696000,52.5798606872559
"43",57.4000015258789,57.7999992370605,55.7000007629395,56.0499992370605,28141805,50.759578704834
"44",56.6800003051758,56.9799995422363,52.7999992370605,53.5900001525879,25949565,48.5317764282227
"45",53.0999984741211,53.4000015258789,48.4500007629395,49.8899993896484,70458570,45.1810035705566
"46",50.2900009155273,51,48,50.2299995422363,61587785,45.4889144897461
"47",50.2000007629395,50.2400016784668,46.8300018310547,47.0900001525879,54237575,42.6452903747559
"48",47.0200004577637,48.4199981689453,45.0400009155273,47.7200012207031,76917905,43.2158279418945
"49",46.7999992370605,52.3499984741211,46.5699996948242,50.4000015258789,118938425,45.6428718566895
"50",49.5800018310547,52.2000007629395,48.2700004577637,51.9199981689453,98163865,47.0193977355957
"51",52.2000007629395,53.3600006103516,51.5,52.8899993896484,63622240,47.8978424072266
"52",52.5200004577637,54.5299987792969,52.0900001525879,53.6699981689453,66689090,48.6042213439941
"53",54.2000007629395,54.2799987792969,51.5299987792969,52.8400001525879,54840200,47.8525619506836
"54",50,51.7799987792969,50,50.8400001525879,71266420,46.0413398742676
"55",51.5999984741211,52.5999984741211,51.1399993896484,51.5400009155273,45771055,46.6752700805664
"56",51.7999992370605,51.7999992370605,50.7000007629395,50.9300003051758,27525255,46.1228446960449
"57",49.4000015258789,49.9799995422363,48.4700012207031,48.9500007629395,31412120,44.3297309875488
"58",49.0800018310547,54.9700012207031,48.439998626709,54.0999984741211,83633610,48.9936332702637
"59",55.2000007629395,55.4300003051758,53,53.7599983215332,87887355,48.6857299804688
"60",52.9599990844727,54.6300010681152,52.4900016784668,52.7799987792969,61645695,47.798225402832
