"","COFORGE.NS.Open","COFORGE.NS.High","COFORGE.NS.Low","COFORGE.NS.Close","COFORGE.NS.Volume","COFORGE.NS.Adjusted"
"1",646,663,638.200012207031,653.799987792969,213259,599.348022460938
"2",662.700012207031,662.700012207031,637.799987792969,642.549987792969,395374,589.035034179688
"3",642,658.349975585938,641.150024414062,645.950012207031,310252,592.151733398438
"4",649.700012207031,655.75,642.549987792969,653.150024414062,276774,598.75244140625
"5",655,672,651.849975585938,669.5,424659,613.740478515625
"6",674,705.900024414062,672.049987792969,704.049987792969,909477,645.413024902344
"7",710,710.150024414062,687,689.900024414062,360240,632.441650390625
"8",690.900024414062,723.5,679.049987792969,719.150024414062,1190113,659.255432128906
"9",724.950012207031,735,714.400024414062,717.650024414062,1015367,657.880310058594
"10",714,719.75,696.75,701.299987792969,377909,642.892150878906
"11",704,711.549987792969,697.650024414062,700.849975585938,232398,642.479431152344
"12",707,731.950012207031,694.849975585938,708.849975585938,964464,649.813415527344
"13",704.700012207031,715.700012207031,700.099975585938,706.049987792969,759232,647.246520996094
"14",706.849975585938,719.950012207031,685.650024414062,693.200012207031,509696,635.466735839844
"15",694.900024414062,734.25,682.849975585938,728.049987792969,2243894,667.414245605469
"16",730,770.299987792969,723.400024414062,765.75,2368114,701.974243164062
"17",765.700012207031,791.75,747.099975585938,783.75,1132377,718.475219726562
"18",770,871.200012207031,770,861.900024414062,3864468,790.116455078125
"19",850.549987792969,928.75,842,914.099975585938,4662431,837.968994140625
"20",905.299987792969,912.5,859.099975585938,866.349975585938,2826891,794.195739746094
"21",859,882,852.599975585938,858.75,1614009,787.228881835938
"22",848.099975585938,868,846.75,856.150024414062,1069232,784.84521484375
"23",846.200012207031,862.700012207031,831.650024414062,835.099975585938,734446,765.54833984375
"24",835,853.799987792969,751.599975585938,790,1573258,724.204650878906
"25",788,833.049987792969,764.349975585938,826.75,1065954,757.893920898438
"26",787,834.75,775,830.700012207031,1086438,761.514892578125
"27",821,852.200012207031,821,838.049987792969,1250383,768.252746582031
"28",837,854.799987792969,821.849975585938,827.849975585938,960541,758.902404785156
"29",803,835.950012207031,803,829.950012207031,515853,760.827392578125
"30",840.950012207031,845,826.549987792969,829.049987792969,439173,760.00244140625
"31",829.049987792969,852.700012207031,823.450012207031,830.450012207031,1047388,761.285827636719
"32",831,847,812.5,825.599975585938,824481,756.839782714844
"33",834,844.200012207031,815.25,820.299987792969,1264192,751.98095703125
"34",826,826.450012207031,748.849975585938,761.299987792969,1203953,697.89501953125
"35",761,772.450012207031,735.099975585938,758.200012207031,1382534,695.053283691406
"36",768,800,760,795.349975585938,2022052,729.109069824219
"37",802,827.349975585938,798,822.549987792969,2918528,754.043640136719
