"","NMDC.NS.Open","NMDC.NS.High","NMDC.NS.Low","NMDC.NS.Close","NMDC.NS.Volume","NMDC.NS.Adjusted"
"1249",41.966667175293,42.9500007629395,41.9000015258789,42.7999992370605,23815269,34.2999000549316
"1250",42.6333312988281,43.1666641235352,42.4166641235352,43.0499992370605,20211168,34.5002479553223
"1251",43,43.3666648864746,42.3499984741211,42.4833335876465,16840650,34.0461235046387
"1252",42.5999984741211,43.0833320617676,41.7333335876465,41.7999992370605,15854322,33.4985008239746
"1253",42.0166664123535,42.0166664123535,41.1500015258789,41.4833335876465,15138303,33.2447242736816
"1254",41.466667175293,41.8333320617676,41.033332824707,41.283332824707,21135546,33.0844421386719
"1255",41.4166641235352,41.6666641235352,40.2666664123535,40.9833335876465,13331811,32.8440246582031
"1256",41.1833343505859,41.9500007629395,40.5166664123535,40.7999992370605,25619268,32.6970977783203
"1257",41.1500015258789,41.8166656494141,40.8666648864746,41.0499992370605,19118064,32.8974456787109
"1258",41.6333312988281,41.6500015258789,39.5999984741211,40.3166656494141,21145560,32.309757232666
"1259",40.2666664123535,40.716667175293,39.4333343505859,39.8666648864746,14346432,31.9491271972656
"1260",40.25,40.3333320617676,38.8333320617676,39.5499992370605,14350224,31.6953544616699
"1261",39.5499992370605,40.033332824707,39.3666648864746,39.6833343505859,9293625,31.8022060394287
"1262",39.8833312988281,39.8833312988281,38.5833320617676,39.2333335876465,16621209,31.4415740966797
"1263",39.4333343505859,40.3666648864746,39.1500015258789,40.1500015258789,11202993,32.1761932373047
"1264",40.2999992370605,40.6666641235352,39.75,39.966667175293,8108844,32.0292663574219
"1265",39.966667175293,39.966667175293,39.4333343505859,39.5999984741211,6569625,31.7354221343994
"1266",39.6500015258789,40,39.2999992370605,39.4333343505859,12069636,31.6018524169922
"1267",39.6333312988281,39.7333335876465,38.0499992370605,38.6500015258789,24105294,30.9740905761719
"1268",38.6666641235352,40.216667175293,38.5999984741211,39.4166641235352,37758987,31.5884971618652
"1269",39.6333312988281,40.6333312988281,39.5,40.5166664123535,23567544,32.4700355529785
"1270",40.5666656494141,41.25,40.1666641235352,40.4000015258789,23923602,32.3765411376953
"1271",40.716667175293,40.716667175293,39.3333320617676,39.5666656494141,24609405,31.708703994751
"1272",39.8833312988281,40.9833335876465,39.6666641235352,39.7666664123535,39832896,31.868989944458
"1273",39.716667175293,39.7999992370605,38.4000015258789,38.5499992370605,35399832,30.8939514160156
"1274",38.75,39.2666664123535,38.0833320617676,39.0166664123535,44899794,31.2679386138916
"1275",38.283332824707,38.3833312988281,37.1833343505859,37.3333320617676,40512774,33.1002731323242
"1276",37.4833335876465,37.5,36.75,37.3666648864746,38749404,33.1298294067383
"1277",37.4500007629395,37.6833343505859,36.6833343505859,37.033332824707,53584392,32.8342895507812
"1278",37.2999992370605,38.3166656494141,37.1500015258789,38.2000007629395,28806156,33.8686714172363
"1279",38,38.5,37.8833312988281,37.966667175293,16966575,33.6617965698242
"1280",38.1666641235352,38.2999992370605,37.6666641235352,37.8166656494141,24626685,33.5288009643555
"1281",37.9166641235352,38.1666641235352,37.1500015258789,38.033332824707,38639100,33.7209014892578
"1282",37.8333320617676,38.283332824707,37.7000007629395,38.1500015258789,26469408,33.824348449707
"1283",38.3333320617676,38.5833320617676,37.966667175293,38.0499992370605,22927740,33.7356796264648
"1284",37.8333320617676,38.2333335876465,37.3499984741211,38.1666641235352,18451227,33.8391189575195
"1285",38.3333320617676,38.7333335876465,37.9166641235352,38.1500015258789,29443683,33.824348449707
"1286",38.2666664123535,39.3666648864746,38.2000007629395,38.7999992370605,44665284,34.4006423950195
"1287",39.1833343505859,39.283332824707,38.7999992370605,39,17172915,34.5779647827148
"1288",38.5999984741211,38.6666641235352,37.533332824707,37.716667175293,23606655,33.4401435852051
"1289",38.033332824707,38.533332824707,37.9833335876465,38.3499984741211,27882996,34.0016632080078
"1290",37.6666641235352,38.3166656494141,37.0166664123535,37.5666656494141,23530101,33.3071517944336
"1291",37.966667175293,37.9833335876465,36.966667175293,37.1166648864746,28696569,32.9081726074219
"1292",37.2999992370605,37.7333335876465,37.0666656494141,37.283332824707,27842871,33.0559463500977
"1293",37.033332824707,37.3166656494141,36.9166641235352,36.9833335876465,12315540,32.7899627685547
"1294",37.1833343505859,37.2000007629395,36,36.1166648864746,24074802,32.0215606689453
"1295",36.1666641235352,36.5499992370605,35.7000007629395,35.7999992370605,19313448,31.7407989501953
"1296",36.0166664123535,36.1333312988281,35.4166641235352,35.5999984741211,19206693,31.5634765625
"1297",35.6666641235352,37,35.216667175293,36.7333335876465,27047847,32.5683059692383
"1298",36.9166641235352,37.4166641235352,36.8666648864746,37.1833343505859,18831666,32.9672813415527
"1299",37.3333320617676,37.716667175293,36.8666648864746,37.1333312988281,31653174,32.9229545593262
"1300",37.1833343505859,37.4000015258789,36.3333320617676,37.2000007629395,16862199,32.9820594787598
"1301",37.033332824707,37.283332824707,36.8333320617676,37,15253470,32.8047409057617
"1302",37.0166664123535,37.2333335876465,36.7333335876465,36.9500007629395,8696949,32.7604064941406
"1303",37.0166664123535,37.8499984741211,36.9000015258789,37.783332824707,15023736,33.4992523193359
"1304",38,38.2000007629395,37.6166648864746,37.75,23043357,33.4696998596191
"1305",37.7333335876465,37.7666664123535,37.033332824707,37.0999984741211,12561819,32.8933944702148
"1306",37.0666656494141,37.3666648864746,36.9000015258789,37.1500015258789,11367030,32.9377326965332
"1307",37.283332824707,37.533332824707,37.1666641235352,37.4333343505859,8192847,33.1889381408691
"1308",37.5,38.2000007629395,37.4000015258789,37.7666664123535,24082242,33.4844741821289
"1309",37.9500007629395,37.9500007629395,37.283332824707,37.4000015258789,18516147,33.1593856811523
"1310",37.3166656494141,37.3333320617676,35.8833312988281,36.6166648864746,37897173,32.4648666381836
"1311",36.6166648864746,36.8166656494141,35.9833335876465,36.6166648864746,14583957,32.4648666381836
"1312",36.5666656494141,36.75,36.2000007629395,36.2666664123535,16862151,32.1545524597168
"1313",36.3333320617676,36.3833312988281,36.0166664123535,36.1500015258789,12696786,32.0511169433594
"1314",36.3333320617676,36.3333320617676,36.0666656494141,36.2000007629395,9155694,32.0954475402832
"1315",36.3333320617676,36.466667175293,36.0833320617676,36.1666641235352,16229469,32.0658874511719
"1316",36.2999992370605,36.7999992370605,36.216667175293,36.6166648864746,21749457,32.4648666381836
