"","SUNPHARMA.NS.Open","SUNPHARMA.NS.High","SUNPHARMA.NS.Low","SUNPHARMA.NS.Close","SUNPHARMA.NS.Volume","SUNPHARMA.NS.Adjusted"
"1",571.5,585.400024414062,571.25,574.049987792969,5314142,540.124206542969
"2",577,582,567.200012207031,572.150024414062,3839130,538.336486816406
"3",575,578.950012207031,567,569.049987792969,2182632,535.419555664062
"4",572,583.950012207031,560.099975585938,581.200012207031,6246746,546.851623535156
"5",585,587.349975585938,575.299987792969,578.75,4600683,544.546325683594
"6",588,604.599975585938,586.150024414062,591.599975585938,10475190,556.636840820312
"7",597,598,584.349975585938,586.5,4025566,551.83837890625
"8",590.799987792969,594,581.400024414062,585.099975585938,2929462,550.521057128906
"9",585.75,598.5,580.5,587.950012207031,5930449,553.20263671875
"10",590,591.450012207031,579.599975585938,583.450012207031,2842683,548.968505859375
"11",586.799987792969,586.799987792969,574.5,576.450012207031,4456611,542.38232421875
"12",577.349975585938,583.950012207031,572.150024414062,577.700012207031,4868363,543.558410644531
"13",583,585.900024414062,576.700012207031,583.75,4812606,549.250793457031
"14",586,589.450012207031,574.299987792969,576.700012207031,3679687,542.617553710938
"15",580,580.650024414062,567.599975585938,572.099975585938,4693971,538.289245605469
"16",573,578.900024414062,568.849975585938,576.150024414062,3072409,542.100036621094
"17",579,585.849975585938,575.5,579.349975585938,4790590,545.110900878906
"18",577,596.5,575.099975585938,586.549987792969,7168397,551.885375976562
"19",591,596,578,579.849975585938,4213982,545.581420898438
"20",581.049987792969,594.200012207031,578.349975585938,587.950012207031,6006564,553.20263671875
"21",585.700012207031,594.75,580.049987792969,591.950012207031,3542190,556.966125488281
"22",590,594.900024414062,575.049987792969,579.900024414062,4781423,545.628356933594
"23",580,580,549.549987792969,554.299987792969,8789899,521.541259765625
"24",552,567.349975585938,544.650024414062,551.200012207031,10873325,518.624633789062
"25",538.799987792969,560.450012207031,533.549987792969,557.450012207031,4734366,524.505126953125
"26",537,554.5,531.200012207031,551.799987792969,6325143,519.189025878906
"27",556,557.450012207031,542.599975585938,549.5,5110233,517.025146484375
"28",540.049987792969,587,533.799987792969,584.099975585938,13707589,549.580139160156
"29",570.099975585938,586,570.099975585938,582.700012207031,3796079,548.262939453125
"30",586,608.950012207031,585,589.150024414062,10261511,554.331726074219
"31",590.950012207031,591.799987792969,571.200012207031,574.799987792969,6630066,540.829833984375
"32",565.400024414062,584.950012207031,565.400024414062,575.75,10715444,541.723693847656
"33",575.400024414062,577.549987792969,563.349975585938,575.25,6640151,541.253173828125
"34",575,577.25,553.549987792969,561.400024414062,3518880,528.2216796875
"35",564.650024414062,566.650024414062,557,559.5,2481944,526.434020996094
"36",560.049987792969,563,511.299987792969,525.75,21898950,494.678619384766
"37",527.5,547,524,541.450012207031,12473655,509.450805664062
"38",550,575.25,546,569.650024414062,30844893,535.984191894531
"39",570,571.900024414062,553.349975585938,555.950012207031,8083731,523.093872070312
"40",555.950012207031,563.450012207031,542.049987792969,544.799987792969,6920945,512.602783203125
"41",543,552.349975585938,532.650024414062,535.349975585938,8366660,503.711212158203
"42",537.950012207031,541.5,533.25,535.400024414062,4264631,503.758239746094
"43",535.099975585938,552.700012207031,527.049987792969,548.549987792969,7343286,516.131103515625
"44",561,563,530,531.75,9825945,500.323974609375
"45",532,534.150024414062,520.099975585938,524.849975585938,6282066,493.831756591797
"46",529.700012207031,530.5,509.5,514.599975585938,9316674,484.187561035156
"47",514,519.900024414062,505,506.799987792969,4996423,476.848510742188
"48",511,516,506.549987792969,512.650024414062,4632925,482.352844238281
"49",512.650024414062,525.5,512.650024414062,523.299987792969,4795084,492.373413085938
"50",523.299987792969,523.299987792969,516.099975585938,520.099975585938,2469628,489.362396240234
"51",520,529,514.75,516.450012207031,3013808,485.928253173828
"52",512.049987792969,522,501.299987792969,503.049987792969,8924919,473.320129394531
"53",506.799987792969,508.549987792969,496,497.649993896484,5580228,468.239288330078
"54",496.75,511,493.75,508.75,4615574,478.683288574219
"55",513.950012207031,515.599975585938,502.549987792969,504.5,3986735,474.684478759766
"56",520,521,505.100006103516,508.399993896484,8691889,478.353973388672
"57",501.799987792969,506.75,497.549987792969,502.399993896484,5098042,472.70849609375
"58",502.399993896484,506.899993896484,496.100006103516,503.200012207031,4203954,473.461303710938
"59",506,512.25,503.200012207031,505.100006103516,4458072,475.248992919922
"60",504,504.700012207031,492,495.100006103516,6856832,465.839965820312
"61",500.899993896484,510,496.049987792969,507.850006103516,2924481,477.836456298828
"62",506,512.200012207031,504.5,510,2709038,479.859436035156
"63",514.950012207031,514.950012207031,501,502.25,3120925,472.567443847656
"64",506,513,505.100006103516,507.549987792969,2409577,477.554168701172
"65",508,515.299987792969,507,512.599975585938,2772128,482.305786132812
"66",512,517.75,507.350006103516,510.850006103516,2395291,480.659118652344
"67",512.400024414062,515.900024414062,507.5,508.25,2645876,478.212829589844
"68",511,522.900024414062,510.299987792969,521.450012207031,5693850,490.632720947266
"69",521.5,521.5,509.600006103516,515.900024414062,3619891,485.410797119141
"70",514.599975585938,519.799987792969,510.299987792969,513,2130074,482.68212890625
"71",513,521,511.5,519.400024414062,2687330,488.703887939453
"72",521.900024414062,521.900024414062,510.5,512.150024414062,3104869,481.882385253906
"73",514.349975585938,517.400024414062,510.649993896484,512,2412444,481.7412109375
"74",515,515,506.350006103516,509.200012207031,1936774,479.106719970703
"75",509,509,502,505.299987792969,4431085,475.437194824219
"76",505,515.5,505,514.25,2424057,483.858184814453
"77",515.900024414062,523.5,512.5,517.799987792969,3432552,487.198455810547
"78",514.5,521.450012207031,511.200012207031,514.049987792969,2112975,483.670074462891
"79",514,522.700012207031,511.299987792969,512.599975585938,3304748,482.305786132812
"80",517.5,526.400024414062,515.25,524.150024414062,3998704,493.173217773438
"81",528,530.950012207031,525.099975585938,528.400024414062,1689385,497.172088623047
"82",530,530.75,510.450012207031,515.200012207031,5805988,484.752075195312
"83",517,539.299987792969,511.649993896484,536,7457111,504.322784423828
"84",530,533,516.400024414062,517.950012207031,5429919,487.339599609375
"85",518,520,506.5,513.700012207031,3837196,483.340759277344
"86",514,519.25,508.600006103516,511.450012207031,2519096,481.223693847656
"87",511.450012207031,514.799987792969,505.200012207031,506.149993896484,2477607,476.236938476562
"88",508,509.25,495.299987792969,497.200012207031,4218689,467.81591796875
"89",494,496.149993896484,467.75,472.049987792969,9906203,444.152221679688
"90",473,487.799987792969,472,473.799987792969,6746471,445.798797607422
"91",474,480,459,468.649993896484,5493167,440.953125
"92",466,473,462.5,471.700012207031,4675165,443.822937011719
"93",473,486,468.350006103516,479.850006103516,5939278,451.491271972656
"94",488.950012207031,488.950012207031,462.850006103516,464.899993896484,8722402,437.424774169922
"95",464.200012207031,465,440.299987792969,443.75,5809871,417.524749755859
"96",444.850006103516,456,435,453,4466739,426.228057861328
"97",454,461.5,449.450012207031,452.25,4549341,425.522369384766
"98",454.899993896484,469.700012207031,451.450012207031,462.850006103516,6237036,435.495971679688
"99",465.5,469.399993896484,456,466.450012207031,4971624,438.883178710938
"100",485,504.950012207031,480,499.700012207031,16007675,470.168121337891
"101",496.600006103516,509.950012207031,490.049987792969,499.5,8258927,469.979949951172
"102",494.899993896484,503.700012207031,492.350006103516,494.549987792969,3851368,465.322479248047
"103",494.899993896484,496,472.899993896484,480.350006103516,18790216,451.961700439453
"104",485,489.549987792969,479.100006103516,484.350006103516,3793797,455.725341796875
"105",486,490.799987792969,476.799987792969,478.600006103516,2995860,450.315124511719
"106",476.149993896484,483.25,470.149993896484,473.5,3076737,445.516510009766
"107",476.899993896484,492.200012207031,473.100006103516,489.850006103516,4126448,460.900268554688
"108",490.649993896484,493.899993896484,485.549987792969,488.75,2197858,459.865234375
"109",487,533.650024414062,486.25,528.25,29224236,497.030822753906
"110",530,544,526.150024414062,535.700012207031,16452353,504.040618896484
"111",535.700012207031,544.950012207031,531.349975585938,540.450012207031,8140874,508.509948730469
"112",552.200012207031,560.950012207031,542.349975585938,546.299987792969,20167822,514.01416015625
"113",546,562,542,559.25,12154425,526.198852539062
"114",562,573.849975585938,561,571.299987792969,15166730,537.536682128906
"115",572,578.299987792969,563.900024414062,570.099975585938,6090932,536.407470703125
"116",570,576.5,558.349975585938,559.950012207031,6719183,526.857360839844
"117",559,565.700012207031,553.099975585938,564.099975585938,4435880,530.762145996094
"118",565,567.450012207031,552.599975585938,554.5,3243433,521.729431152344
"119",553,581.799987792969,547.650024414062,577.25,9935404,543.135009765625
"120",576.900024414062,592,567.950012207031,571.799987792969,14303449,538.006958007812
"121",571.349975585938,576.5,565.799987792969,572.950012207031,4726890,539.089111328125
"122",577,581.700012207031,568.5,576.900024414062,8539318,542.8056640625
"123",577.75,583.200012207031,564.200012207031,567.299987792969,5516028,533.773010253906
"124",569,571.900024414062,560.150024414062,564,4416940,530.668029785156
"125",566.299987792969,572.849975585938,558.5,563.150024414062,4132132,529.868347167969
"126",564.799987792969,576.799987792969,560.700012207031,573.599975585938,5950013,539.700622558594
"127",576,588.849975585938,573.049987792969,579.299987792969,9406196,545.063842773438
"128",581,581,564.900024414062,566.950012207031,3833300,533.443725585938
"129",567.400024414062,573.25,555,558.099975585938,5609846,525.116638183594
"130",560.599975585938,572.599975585938,560.599975585938,568.799987792969,4117856,535.184387207031
"131",569,572,558,563.950012207031,4594276,530.620971679688
"132",564.950012207031,569.700012207031,559.599975585938,560.75,3519985,527.610107421875
"133",563,570.700012207031,558,564.450012207031,3736611,531.091430664062
"134",566.799987792969,567,557.049987792969,559.75,2012823,526.669311523438
"135",559.5,560,530.700012207031,533.950012207031,4267330,502.39404296875
"136",535,551.75,533,548.650024414062,3699579,516.225280761719
"137",554.950012207031,559.200012207031,542.849975585938,549.900024414062,5720388,517.4013671875
"138",552.400024414062,553.799987792969,542.25,544.950012207031,2767826,512.743835449219
"139",545,563,545,560.099975585938,2702091,526.998474121094
"140",562.700012207031,567,557.5,561.75,2459719,528.550964355469
"141",562.099975585938,568.5,559.049987792969,562.700012207031,2480730,529.44482421875
"142",566.400024414062,567.349975585938,555.5,558.150024414062,2161490,525.163757324219
"143",553.950012207031,563.799987792969,551.5,555.400024414062,3113443,522.576293945312
"144",555.900024414062,561,553.25,557.049987792969,2638153,524.128784179688
"145",555.299987792969,566.75,551.950012207031,562.700012207031,3441224,529.44482421875
"146",562.5,575.75,560.150024414062,568.5,5998010,534.902160644531
"147",570,576.799987792969,563.799987792969,574.650024414062,3672172,540.688720703125
"148",575.900024414062,587.549987792969,575.299987792969,580.400024414062,5898107,546.098693847656
"149",583.900024414062,589.400024414062,583.849975585938,585.849975585938,3298774,551.226684570312
"150",586.5,593.400024414062,575.099975585938,576.150024414062,3867267,542.100036621094
"151",580.450012207031,582.5,568.25,569.700012207031,3076068,536.031188964844
"152",570,578.349975585938,564.299987792969,574,2970652,540.0771484375
"153",575.200012207031,584.900024414062,563.049987792969,571.450012207031,4595269,537.677795410156
"154",566.099975585938,569.700012207031,548.849975585938,554,6086714,521.259155273438
"155",556.900024414062,567.5,552.599975585938,563.900024414062,3254839,530.573974609375
"156",565.5,610,560.099975585938,601.799987792969,25001972,566.234008789062
"157",610,621.700012207031,602.200012207031,619.700012207031,25169096,583.076293945312
"158",623,633.400024414062,619,623.5,14161255,586.651733398438
"159",625,630.950012207031,620.25,626.349975585938,9494515,589.333068847656
"160",626.900024414062,639.450012207031,620.5,635.400024414062,7752348,597.848327636719
"161",639.900024414062,645.5,634.299987792969,639.650024414062,8942755,601.847229003906
"162",638.25,639.799987792969,618.700012207031,629.799987792969,7909136,592.579223632812
