"","TATACHEM.NS.Open","TATACHEM.NS.High","TATACHEM.NS.Low","TATACHEM.NS.Close","TATACHEM.NS.Volume","TATACHEM.NS.Adjusted"
"1",322.538391113281,324.235870361328,318.768737792969,320.091430664062,423720,264.965942382812
"2",320.532318115234,326.131713867188,314.734527587891,321.899108886719,1424603,266.462280273438
"3",328.777099609375,337.991851806641,325.845123291016,333.274261474609,7828490,275.878448486328
"4",333.538787841797,336.184173583984,330.9375,332.612915039062,2041216,275.330993652344
"5",333.318328857422,336.316436767578,329.879333496094,334.023773193359,1915589,276.498931884766
"6",335.081939697266,340.372711181641,332.524719238281,338.212310791016,3204007,279.966064453125
"7",339.468872070312,343.899871826172,336.250305175781,337.484832763672,2738792,279.363891601562
"8",338.609100341797,338.917724609375,334.200134277344,336.382568359375,1001219,278.451446533203
"9",339.050018310547,344.781677246094,336.404632568359,339.931793212891,3917567,281.389465332031
"10",341.254486083984,343.679412841797,333.097900390625,337.132110595703,2376340,279.071929931641
"11",339.336578369141,341.408813476562,334.751251220703,337.94775390625,1663655,279.747100830078
"12",338.168212890625,339.226379394531,324.610626220703,326.682830810547,1583545,270.422180175781
"13",326.682830810547,331.334320068359,317.115356445312,330.496612548828,1374923,273.579162597656
"14",332.87744140625,334.200134277344,315.924957275391,321.259796142578,2311658,265.933135986328
"15",322.494323730469,324.015411376953,316.211517333984,319.496215820312,1461970,264.473297119141
"16",320.973205566406,325.823089599609,317.005157470703,324.412231445312,1900499,268.542602539062
"17",326.263977050781,326.726928710938,320.598449707031,323.001342773438,863380,267.374725341797
"18",323.618591308594,323.839050292969,318.305786132812,321.502288818359,912602,266.133819580078
"19",321.855010986328,323.706787109375,314.778625488281,316.255615234375,2968521,261.790740966797
"20",317.468078613281,320.708679199219,316.564239501953,317.688537597656,679893,262.976867675781
"21",317.886932373047,318.349884033203,312.772521972656,315.087249755859,688643,260.823577880859
"22",314.712463378906,318.327819824219,312.441864013672,317.005157470703,2100291,262.411193847656
"23",318.195556640625,320.091430664062,311.736419677734,316.983093261719,2627943,262.392913818359
"24",313.918853759766,314.734527587891,299.942413330078,305.211151123047,2775399,252.648330688477
"25",300.691955566406,308.628082275391,291.896057128906,306.622009277344,2010039,253.816192626953
"26",295.930267333984,308.495819091797,290.132446289062,302.543701171875,2103666,250.440246582031
"27",307.305389404297,310.501922607422,299.148803710938,300.184906005859,1793082,248.487655639648
"28",302.433502197266,313.918853759766,300.295135498047,312.221405029297,3332685,258.451324462891
"29",307.790374755859,311.185302734375,305.122955322266,308.958770751953,2745560,255.750595092773
"30",310.391693115234,317.137420654297,306.952697753906,315.462005615234,1454672,261.1337890625
"31",316.961059570312,318.768737792969,313.367736816406,315.021118164062,1762954,260.768829345703
"32",315.241546630859,320.686645507812,313.169342041016,317.005157470703,2146983,262.411193847656
"33",318.327819824219,320.400054931641,310.766448974609,316.850830078125,1985564,262.283416748047
"34",317.886932373047,318.041259765625,309.113067626953,313.191375732422,770261,259.254180908203
