"","BAJAJFINSV.NS.Open","BAJAJFINSV.NS.High","BAJAJFINSV.NS.Low","BAJAJFINSV.NS.Close","BAJAJFINSV.NS.Volume","BAJAJFINSV.NS.Adjusted"
"1",520.799987792969,530.875,515.159973144531,517.184997558594,448990,515.667785644531
"2",519.989990234375,522.900024414062,504.774993896484,510.109985351562,791230,508.613555908203
"3",513.934997558594,517.97998046875,508.880004882812,509.945007324219,1194130,508.449096679688
"4",512,513.5,505.100006103516,506.255004882812,792050,504.769897460938
"5",509.880004882812,514.494995117188,507.609985351562,512.719970703125,1518180,511.215881347656
"6",517,525.299987792969,514.614990234375,522.125,1810680,520.593444824219
"7",523,524.239990234375,510.5,515.640014648438,2335100,514.12744140625
"8",516,527.260009765625,513,519.955017089844,2600210,518.429748535156
"9",519.799987792969,519.799987792969,513.5,514.640014648438,711600,513.130310058594
"10",514.640014648438,517,503.200012207031,505.730010986328,2247580,504.246459960938
"11",505.200012207031,510.519989013672,500.109985351562,501.035003662109,1731850,499.565185546875
"12",503.899993896484,506,493.5,495.679992675781,1241860,494.225921630859
"13",495,501.200012207031,489.040008544922,496.489990234375,1406370,495.033538818359
"14",500.700012207031,504.5,488.450012207031,492.260009765625,2110860,490.815948486328
"15",492,502.100006103516,484.234985351562,497.304992675781,1104060,495.846130371094
"16",500,506.494995117188,495.100006103516,505.144989013672,1048910,503.663116455078
"17",504.200012207031,508.899993896484,498.760009765625,501.459991455078,1783010,499.988922119141
"18",501.5,507.279998779297,494.899993896484,501.445007324219,880030,499.974060058594
"19",502.5,507,490,493.304992675781,1490770,491.857879638672
"20",494.950012207031,501,489.899993896484,491.239990234375,1004040,489.798919677734
"21",492.5,493.899993896484,486,487.565002441406,1043320,486.134735107422
"22",486.100006103516,486.345001220703,473.644989013672,481.234985351562,2201610,479.823303222656
"23",481.105010986328,508,477,503.839996337891,3508580,502.361999511719
"24",500.100006103516,514.809997558594,489.095001220703,493.575012207031,3751600,492.127075195312
"25",481,499.489990234375,476.304992675781,491.799987792969,2959400,490.357299804688
"26",450,494.899993896484,450,490.459991455078,2630800,489.021240234375
"27",500.899993896484,505.600006103516,492.755004882812,501.204986572266,2014350,499.734649658203
"28",500,517.400024414062,497.5,505.725006103516,1545860,504.241455078125
"29",498.989990234375,508.799987792969,496.119995117188,505.934997558594,1446000,504.450836181641
"30",509.630004882812,524.400024414062,504.279998779297,523.544982910156,1411760,522.009094238281
"31",526,535,515.22998046875,518.900024414062,1545470,517.377868652344
"32",520,529.099975585938,511.204986572266,513.034973144531,1041970,511.529968261719
"33",516.885009765625,519.97998046875,503,505.825012207031,884680,504.341186523438
"34",509.5,511.984985351562,497,500.075012207031,1469280,498.608032226562
"35",503,504.899993896484,497.619995117188,501.429992675781,1078990,499.959075927734
"36",504,505.024993896484,495.510009765625,497.345001220703,1008450,495.886016845703
"37",498.899993896484,503,492.515014648438,495.184997558594,1234530,493.732330322266
"38",494.315002441406,505.700012207031,494,501.964996337891,1363960,500.492431640625
"39",505.100006103516,526,503.005004882812,519.294982910156,1692300,517.771606445312
"40",520.799987792969,522.75,510.109985351562,512.135009765625,829610,510.632690429688
"41",509,513.179992675781,503.019989013672,505.170013427734,1304850,503.688079833984
"42",505.200012207031,508.790008544922,498.600006103516,499.940002441406,849160,498.473388671875
"43",499.940002441406,506.760009765625,495.220001220703,503.744995117188,1141330,502.267272949219
"44",507.549987792969,509.795013427734,495.5,498.065002441406,868420,496.603942871094
"45",498,498,480.600006103516,483.614990234375,1237700,482.196319580078
"46",486.394989013672,488.899993896484,480,486.459991455078,1023510,485.032958984375
"47",489.339996337891,499,484.5,496.625,1400740,495.168090820312
"48",500.25,507.785003662109,496.720001220703,504.005004882812,1077040,502.526458740234
"49",503.899993896484,511.994995117188,501.660003662109,509.839996337891,925700,508.344360351562
"50",509,513.440002441406,505.345001220703,511.160003662109,789750,509.660522460938
"51",511.149993896484,514.005004882812,502.005004882812,503.450012207031,822930,501.973175048828
"52",497.160003662109,508.5,497.160003662109,501.135009765625,1782450,499.664947509766
"53",502,504.994995117188,493.225006103516,496.345001220703,842920,494.888946533203
"54",494.5,509,494.255004882812,508.084991455078,1077770,506.594512939453
"55",509,514.984985351562,509,513.150024414062,999530,511.644714355469
"56",510,513.544982910156,509,511.984985351562,739660,510.483032226562
"57",505.890014648438,515.169982910156,504,512.669982910156,1737720,511.166076660156
"58",512.799987792969,518.784973144531,506.315002441406,515.10498046875,1264820,513.593872070312
"59",518,527.844970703125,511.100006103516,525.89501953125,1297190,524.352355957031
"60",523,529.900024414062,502.154998779297,517.155029296875,12294620,515.637939453125
"61",507.5,529.5,507.114990234375,526.739990234375,2394740,525.19482421875
"62",526.900024414062,541.844970703125,523.260009765625,538.159973144531,1897500,536.581115722656
"63",542,544.559997558594,520.280029296875,522.85498046875,1887800,521.321105957031
"64",533.299987792969,550,531.5,544.385009765625,2053870,542.788024902344
"65",546.330017089844,551.39501953125,541.505004882812,548.424987792969,1216930,546.816284179688
"66",548.799987792969,557.900024414062,545.455017089844,556.130004882812,1376360,554.49853515625
"67",558.10498046875,558.594970703125,539.494995117188,541.289978027344,1579070,539.7021484375
"68",543.905029296875,547.390014648438,534,542.02001953125,1462510,540.429992675781
"69",542.5,545.400024414062,536.525024414062,542.075012207031,796540,540.484802246094
"70",543.799987792969,544.200012207031,529.35498046875,531.679992675781,1798690,530.120239257812
"71",532,539.700012207031,530.994995117188,538.614990234375,801130,537.034912109375
"72",541,544.97998046875,539,542.609985351562,1297340,541.018310546875
"73",543.5,545.690002441406,535.47998046875,537.184997558594,833550,535.609130859375
"74",537.510009765625,541.200012207031,536.005004882812,538.52001953125,652880,536.940246582031
"75",537,538.989990234375,526.5,528.635009765625,1573930,527.084289550781
"76",529.885009765625,534.885009765625,525.664978027344,529.400024414062,878050,527.847045898438
"77",530,545.400024414062,530,542.765014648438,1420750,541.1728515625
