"","INDHOTEL.NS.Open","INDHOTEL.NS.High","INDHOTEL.NS.Low","INDHOTEL.NS.Close","INDHOTEL.NS.Volume","INDHOTEL.NS.Adjusted"
"1",113.548431396484,115.390808105469,113.548431396484,114.905967712402,456562,112.264213562012
"2",115.390808105469,115.875640869141,113.402984619141,114.905967712402,1976901,112.264213562012
"3",115.390808105469,120.239158630371,114.566589355469,117.669532775879,1761802,114.964233398438
"4",117.911949157715,126.057182312012,117.911949157715,122.081535339355,5176843,119.274795532227
"5",123.923904418945,131.244918823242,123.633003234863,128.772262573242,3523339,125.811706542969
"6",130.905532836914,138.129577636719,129.451034545898,136.335693359375,4968711,133.201263427734
"7",137.693237304688,141.377975463867,135.753890991211,137.838684082031,3873933,134.669692993164
"8",138.662902832031,141.281005859375,137.014465332031,138.808349609375,2334156,135.617034912109
"9",138.808349609375,140.408309936523,137.402328491211,139.196212768555,1182178,135.996002197266
"10",139.341674804688,140.020446777344,135.269058227539,137.208389282227,1079406,134.053909301758
"11",139.244705200195,139.244705200195,135.947830200195,136.869018554688,784775,133.722305297852
"12",137.693237304688,143.511260986328,134.444839477539,140.165893554688,3009133,136.943374633789
"13",139.632568359375,145.450592041016,139.632568359375,144.141540527344,2080036,140.827621459961
"14",145.062728881836,148.165679931641,134.250900268555,136.335693359375,1941178,133.201263427734
"15",138.081100463867,139.632568359375,133.959991455078,138.129577636719,817982,134.953872680664
"16",137.887161254883,147.874771118164,136.917495727539,146.08088684082,4361788,142.722412109375
"17",146.420272827148,156.068481445312,146.420272827148,151.995880126953,5286335,148.501388549805
"18",152.141326904297,155.341232299805,145.25666809082,146.46875,1681264,143.101364135742
"19",147.486907958984,150.686813354492,143.511260986328,144.868789672852,1636073,141.538162231445
"20",145.693008422852,146.46875,136.287200927734,137.256881713867,1339576,134.101257324219
"21",137.111434936523,142.880966186523,137.111434936523,139.196212768555,1486834,135.996002197266
"22",137.790191650391,141.184051513672,132.990325927734,134.008483886719,938659,130.927536010742
"23",135.366027832031,140.165893554688,131.875213623047,134.153930664062,1034406,131.06965637207
"24",133.475158691406,133.475158691406,122.66333770752,125.087509155273,1103495,122.211669921875
"25",122.808784484863,132.844879150391,121.305793762207,131.826721191406,996782,128.795959472656
"26",126.057182312012,132.844879150391,123.148170471191,131.390365600586,705360,128.369613647461
"27",132.360046386719,134.784225463867,126.445053100586,127.85107421875,974736,124.911689758301
"28",129.160125732422,137.208389282227,128.917709350586,132.699432373047,1766055,129.648590087891
"29",127.269271850586,134.687255859375,127.269271850586,132.79638671875,1013548,129.743316650391
"30",133.135772705078,135.753890991211,132.79638671875,133.863037109375,1701627,130.785446166992
"31",135.850860595703,138.420486450195,130.954025268555,131.487335205078,1517118,128.464340209961
"32",132.457015991211,134.299377441406,128.723770141602,130.129806518555,1275846,127.138023376465
"33",132.79638671875,133.572128295898,128.190460205078,129.160125732422,874639,126.190650939941
"34",130.905532836914,135.559951782227,129.93586730957,133.23274230957,1438382,130.169631958008
"35",132.117630004883,136.093276977539,130.178283691406,131.681274414062,1463384,128.653823852539
