"","APOLLOTYRE.NS.Open","APOLLOTYRE.NS.High","APOLLOTYRE.NS.Low","APOLLOTYRE.NS.Close","APOLLOTYRE.NS.Volume","APOLLOTYRE.NS.Adjusted"
"1",268.25,272.700012207031,266.75,268.850006103516,1308125,239.526947021484
"2",268.850006103516,272.399993896484,262.200012207031,267.549987792969,2819943,238.368713378906
"3",267.600006103516,271,267.600006103516,269.950012207031,1504749,240.506973266602
"4",270.899993896484,272,268.399993896484,270.899993896484,2423527,241.353302001953
"5",270.100006103516,283.5,269.75,280.600006103516,5282717,249.995376586914
"6",282.100006103516,285,279,283.700012207031,2827715,252.757293701172
"7",283.950012207031,288.649993896484,280.649993896484,285.600006103516,3741055,254.449996948242
"8",287,288.149993896484,275.850006103516,278.049987792969,3481128,247.723480224609
"9",278.5,280.450012207031,275.5,279.049987792969,1633890,248.614379882812
"10",279.450012207031,281.799987792969,274.950012207031,278.950012207031,2675592,248.525344848633
"11",280,282,277.350006103516,278.700012207031,1738472,248.302597045898
"12",277.350006103516,278,268.700012207031,271.700012207031,2962659,242.066116333008
"13",273,275,269.549987792969,273.850006103516,2010538,243.981582641602
"14",274,274.649993896484,259.350006103516,261.850006103516,3167641,233.290420532227
"15",261.950012207031,266,260.350006103516,264.799987792969,1621095,235.918655395508
"16",265.899993896484,265.899993896484,257.299987792969,259.600006103516,1411127,231.285842895508
"17",261.399993896484,267.950012207031,260.200012207031,264.850006103516,1899243,235.963226318359
"18",264.799987792969,268.700012207031,260.649993896484,267.25,1868919,238.101455688477
"19",269,269.600006103516,259.600006103516,261.049987792969,5131170,232.577682495117
"20",263.950012207031,264.399993896484,254.75,257.600006103516,1497214,229.503982543945
"21",256.700012207031,261.350006103516,250.75,258.450012207031,4217855,230.261260986328
"22",259.399993896484,263.75,253.550003051758,254.850006103516,3531429,227.053909301758
"23",255.800003051758,268.5,248.399993896484,262.350006103516,4693162,233.735885620117
"24",258,260.25,246,249.5,5641354,222.28742980957
"25",241.300003051758,255.699996948242,238.399993896484,252,2874449,224.514724731445
"26",240,255.399993896484,229.550003051758,248.25,6238520,221.173751831055
"27",250.899993896484,264.899993896484,250.149993896484,261.100006103516,5587479,232.62223815918
"28",261,272,259.149993896484,269.75,5327898,240.328735351562
"29",262.799987792969,272,262.649993896484,270.799987792969,2254834,241.264205932617
"30",272.049987792969,277.799987792969,271.100006103516,274.899993896484,3624552,244.917053222656
"31",279.899993896484,279.950012207031,272.5,274,3007377,244.115249633789
"32",274,279,270.549987792969,272.75,4238095,243.001556396484
"33",273,276,260.049987792969,261.299987792969,2417120,232.800399780273
"34",262.399993896484,262.850006103516,250.100006103516,254.550003051758,2842510,226.78662109375
"35",255,265.5,253.649993896484,264.700012207031,4636403,235.829574584961
"36",266.100006103516,268,259.100006103516,262.149993896484,1935835,233.557693481445
"37",260,264.649993896484,260,262.950012207031,2296396,234.270462036133
"38",264,269.850006103516,263,268.850006103516,2901084,239.526947021484
"39",270.450012207031,271,265.75,268.450012207031,2201918,239.170562744141
"40",269.950012207031,269.950012207031,262.149993896484,264.649993896484,2640754,235.785003662109
"41",265.100006103516,275.5,261.700012207031,274.549987792969,5332447,244.605209350586
"42",274,274,264.700012207031,265.700012207031,3851150,236.720504760742
"43",266.399993896484,266.700012207031,257.700012207031,259.149993896484,3163425,230.884887695312
"44",260,263,255,258.549987792969,3745933,230.350326538086
"45",260,260,250.5,254.949996948242,2605902,227.142974853516
"46",255.550003051758,261.25,252.399993896484,260,2801164,231.642196655273
"47",263.299987792969,265.200012207031,257.799987792969,260,2986138,231.642196655273
"48",260.850006103516,262.799987792969,256.149993896484,262.149993896484,1659940,233.557693481445
"49",260.100006103516,267.950012207031,260.100006103516,264.549987792969,1798681,235.695922851562
"50",263.100006103516,267.649993896484,261.950012207031,267,1613608,237.878723144531
"51",266.5,269.5,262.399993896484,266.450012207031,2765849,237.388702392578
"52",264.5,268.700012207031,263.25,265.649993896484,3241898,236.675933837891
"53",263.549987792969,265.5,259.25,261.25,1384506,232.755844116211
"54",261.100006103516,264.299987792969,258,263.25,1132351,234.537734985352
"55",263.5,267.299987792969,262.700012207031,263.049987792969,1030507,234.359481811523
"56",262.5,264.25,259.799987792969,260.200012207031,1427843,231.820373535156
"57",253.800003051758,258.399993896484,251.649993896484,256.049987792969,2051561,228.122985839844
"58",257,268.75,255,267.649993896484,2042206,238.457778930664
"59",269,276,269,274.799987792969,3310412,244.827972412109
"60",272.5,281.799987792969,271.600006103516,277.049987792969,3024236,246.832534790039
"61",277.700012207031,279.649993896484,271.299987792969,277.399993896484,1501332,247.144378662109
"62",277.399993896484,289.450012207031,276,285.600006103516,3788338,254.449996948242
"63",286.100006103516,289.049987792969,280.5,282.149993896484,2783007,251.376281738281
"64",284.350006103516,295.350006103516,284.350006103516,292.5,4642680,260.597412109375
"65",292,296.200012207031,288.899993896484,294.100006103516,3223111,262.02294921875
"66",294.100006103516,297.5,291.200012207031,293.200012207031,2702990,261.221130371094
"67",296.850006103516,296.850006103516,288,290.700012207031,1881153,258.993774414062
"68",290.299987792969,291.600006103516,285.75,286.75,1954853,255.474578857422
"69",288.5,297.200012207031,284.299987792969,294.600006103516,4040620,262.468383789062
"70",296.75,300.5,293.5,296.25,4792776,263.938446044922
"71",293.5,301.5,290.549987792969,300.049987792969,2363413,267.323944091797
"72",301,307.25,295.200012207031,296.549987792969,6913502,264.205780029297
"73",298.75,299.200012207031,288.25,289.450012207031,3521201,257.880126953125
"74",291.350006103516,295.950012207031,286.549987792969,292.950012207031,4278681,260.998413085938
"75",291,293.649993896484,286.200012207031,287.950012207031,2551938,256.543731689453
"76",287,290.5,283.950012207031,289.100006103516,2374803,257.568298339844
"77",289,293,286.600006103516,288.700012207031,2202561,257.211883544922
"78",288.899993896484,289.149993896484,284,284.75,1528321,253.69270324707
"79",283.799987792969,287.399993896484,282.049987792969,285.950012207031,2654908,254.76188659668
"80",287,293.899993896484,286.5,292.850006103516,2852936,260.909301757812
"81",295.850006103516,296.850006103516,293.049987792969,294.350006103516,1769276,262.245666503906
"82",296.850006103516,300.700012207031,287.649993896484,290.200012207031,3122546,258.54833984375
"83",291.5,295.299987792969,285.149993896484,286.350006103516,2402684,255.118225097656
"84",285.549987792969,287.950012207031,282,286.450012207031,1888110,255.207290649414
"85",287.149993896484,294.799987792969,285.549987792969,293.899993896484,2189545,261.844787597656
"86",294.899993896484,296.450012207031,288.200012207031,289.100006103516,2067280,257.568298339844
"87",288.850006103516,292.850006103516,285.549987792969,286.600006103516,2545142,255.34098815918
"88",288.049987792969,291.899993896484,282.100006103516,283.600006103516,2873706,252.668151855469
"89",288.600006103516,289.649993896484,274.100006103516,280,3776298,249.460815429688
"90",281.899993896484,287.5,278.549987792969,286.299987792969,2561495,255.073699951172
"91",285.399993896484,290.799987792969,283.450012207031,288.049987792969,1992223,256.632781982422
"92",287.5,295.399993896484,285.200012207031,294.049987792969,2123951,261.978363037109
"93",295,295,286.899993896484,288.450012207031,1831666,256.989166259766
"94",289.450012207031,290.5,284.5,285.950012207031,1404964,254.76188659668
"95",285,286.450012207031,273.149993896484,276,2647317,245.897094726562
"96",276,278,269.600006103516,274.25,1686995,244.337966918945
"97",273.25,277.850006103516,271.25,274.899993896484,1653827,244.917053222656
"98",275,276.299987792969,266.25,272.600006103516,2318445,242.867919921875
"99",272.700012207031,282.200012207031,271.049987792969,279.5,1420896,249.015365600586
"100",282.950012207031,297.399993896484,280.5,287.049987792969,5098864,255.741836547852
"101",288,291.350006103516,279.149993896484,280,2483607,249.460815429688
